method,period_type,period,period_start_date,period_end_date,starting_value,ending_value,return_percent
Walk-Forward Portfolio After Costs,Annual,2022,2022-02-07,2022-12-30,1000000.0,865731.6533363862,-13.426834666361376
Walk-Forward Portfolio After Costs,Annual,2023,2023-01-03,2023-12-29,865731.6533363862,859084.9509539474,-0.7677554998507419
Walk-Forward Portfolio After Costs,Annual,2024,2024-01-02,2024-12-31,859084.9509539474,1137227.9375167738,32.37665684330404
Walk-Forward Portfolio After Costs,Annual,2025,2025-01-02,2025-12-31,1137227.9375167738,1278016.9261419154,12.380014945162653
Walk-Forward Portfolio After Costs,Annual,2026,2026-01-05,2026-09-08,1278016.9261419154,1251689.5691884046,-2.060016296731526
Walk-Forward Portfolio Before Costs,Annual,2022,2022-02-07,2022-12-30,1000000.0,877974.7875872292,-12.202521241277086
Walk-Forward Portfolio Before Costs,Annual,2023,2023-01-03,2023-12-29,877974.7875872292,886036.1336370411,0.9181751188966913
Walk-Forward Portfolio Before Costs,Annual,2024,2024-01-02,2024-12-31,886036.1336370411,1181685.414928228,33.36763254536723
Walk-Forward Portfolio Before Costs,Annual,2025,2025-01-02,2025-12-31,1181685.414928228,1336728.749832454,13.120525390731252
Walk-Forward Portfolio Before Costs,Annual,2026,2026-01-05,2026-09-08,1336728.749832454,1317757.9897388266,-1.419192943669767
CSI 300 Benchmark,Annual,2022,2022-02-07,2022-12-30,1000000.0,834660.0509187877,-16.53399490812123
CSI 300 Benchmark,Annual,2023,2023-01-03,2023-12-29,834660.0509187877,739690.4285536399,-11.378239830767745
CSI 300 Benchmark,Annual,2024,2024-01-02,2024-12-31,739690.4285536399,848301.5564141582,14.683322058511973
CSI 300 Benchmark,Annual,2025,2025-01-02,2025-12-31,848301.5564141582,998138.1178603236,17.663124665188313
CSI 300 Benchmark,Annual,2026,2026-01-05,2026-09-08,998138.1178603236,982788.037164241,-1.537871404910185
