date,cash,invested_value,portfolio_value,benchmark_value,number_of_holdings,is_rebalance_date,daily_return,benchmark_daily_return,no_cost_portfolio_value,cost_drag_value
2022-02-07,19185.2341782401,990694.0000000000,1009879.2341782401,999033.0005199441,20,1970-01-01,,,1010683.0000000000,803.7658217599
2022-02-08,19185.2341782401,1003552.0000000000,1022737.2341782401,993575.0734411735,20,1970-01-01,0.0127322155,-0.0054632100,1023541.0000000000,803.7658217599
2022-02-09,19185.2341782401,1011728.0000000000,1030913.2341782401,1002907.2471899713,20,1970-01-01,0.0079942332,0.0093925200,1031717.0000000000,803.7658217599
2022-02-10,19185.2341782401,1016591.0000000000,1035776.2341782401,1000277.4739517521,20,1970-01-01,0.0047171768,-0.0026221500,1036580.0000000000,803.7658217599
2022-02-11,19185.2341782401,1003521.0000000000,1022706.2341782401,991984.5835289825,20,1970-01-01,-0.0126185556,-0.0082905900,1023510.0000000000,803.7658217599
2022-02-14,19185.2341782401,988760.0000000000,1007945.2341782401,981268.4716684939,20,1970-01-01,-0.0144332747,-0.0108027000,1008749.0000000000,803.7658217599
2022-02-15,19185.2341782401,992911.0000000000,1012096.2341782401,991705.8809576666,20,1970-01-01,0.0041182793,0.0106366500,1012900.0000000000,803.7658217599
2022-02-16,19185.2341782401,997487.0000000000,1016672.2341782401,995561.9805198882,20,1970-01-01,0.0045213092,0.0038883500,1017476.0000000000,803.7658217599
2022-02-17,19185.2341782401,992826.9999999999,1012012.2341782399,997971.2504683662,20,1970-01-01,-0.0045835815,0.0024200100,1012815.9999999999,803.7658217599
2022-02-18,19185.2341782401,999797.9999999999,1018983.2341782399,1002729.3678166368,20,1970-01-01,0.0068882566,0.0047677900,1019786.9999999999,803.7658217599
2022-02-21,19185.2341782401,1002653.9999999999,1021839.2341782399,999081.3280762894,20,1970-01-01,0.0028027939,-0.0036381100,1022642.9999999999,803.7658217599
2022-02-22,19185.2341782401,989051.9999999999,1008237.2341782399,986111.5240271615,20,1970-01-01,-0.0133112916,-0.0129817300,1009040.9999999999,803.7658217599
2022-02-23,19185.2341782401,997281.9999999999,1016467.2341782399,996652.2180242164,20,1970-01-01,0.0081627614,0.0106891500,1017270.9999999999,803.7658217599
2022-02-24,19185.2341782401,975656.9999999999,994842.2341782399,976446.1009225156,20,1970-01-01,-0.0212746651,-0.0202739900,995645.9999999999,803.7658217599
2022-02-25,19185.2341782401,983120.9999999999,1002306.2341782399,985954.5768219230,20,1970-01-01,0.0075026972,0.0097378400,1003109.9999999999,803.7658217599
2022-02-28,19185.2341782401,981818.9999999999,1001004.2341782399,987726.9287692180,20,1970-01-01,-0.0012990042,0.0017976000,1001807.9999999999,803.7658217599
2022-03-01,23533.3290207000,980223.0000000000,1003756.3290207001,995927.7884043261,20,1970-01-01,0.0027493339,0.0083027600,1005507.9999999999,1751.6709792998
2022-03-02,23533.3290207000,981388.0000000000,1004921.3290207001,987070.4349032070,20,1970-01-01,0.0011606403,-0.0088935700,1006672.9999999999,1751.6709792998
2022-03-03,23533.3290207000,981859.0000000000,1005392.3290207001,981255.6325833052,20,1970-01-01,0.0004686934,-0.0058909700,1007143.9999999999,1751.6709792998
2022-03-04,23533.3290207000,977644.9999999999,1001178.3290207000,969355.8179637353,20,1970-01-01,-0.0041913986,-0.0121271300,1002929.9999999998,1751.6709792998
2022-03-07,23533.3290207000,956109.9999999999,979643.3290207000,938386.7025816154,20,1970-01-01,-0.0215096545,-0.0319481400,981394.9999999998,1751.6709792998
2022-03-08,23533.3290207000,925439.9999999999,948973.3290207000,919547.6229889859,20,1970-01-01,-0.0313073127,-0.0200760300,950724.9999999998,1751.6709792998
2022-03-09,23533.3290207000,902254.9999999999,925788.3290207000,911130.2311757643,20,1970-01-01,-0.0244316666,-0.0091538400,927539.9999999998,1751.6709792998
2022-03-10,23533.3290207000,910874.0000000000,934407.3290207001,925464.6148716439,20,1970-01-01,0.0093099035,0.0157325300,936158.9999999999,1751.6709792998
2022-03-11,23533.3290207000,921940.0000000000,945473.3290207001,928414.7276791164,20,1970-01-01,0.0118428009,0.0031877100,947224.9999999999,1751.6709792998
2022-03-14,23533.3290207000,903928.0000000000,927461.3290207001,900008.5885893024,20,1970-01-01,-0.0190507754,-0.0305963900,929212.9999999999,1751.6709792998
2022-03-15,23533.3290207000,849881.0000000000,873414.3290207001,858843.8607631165,20,1970-01-01,-0.0582741278,-0.0457381500,875165.9999999999,1751.6709792998
2022-03-16,23533.3290207000,870239.0000000000,893772.3290207001,895982.2017012005,20,1970-01-01,0.0233085253,0.0432422500,895523.9999999999,1751.6709792998
2022-03-17,23533.3290207000,887022.0000000000,910555.3290207001,913576.9536290655,20,1970-01-01,0.0187777127,0.0196373900,912306.9999999999,1751.6709792998
2022-03-18,23533.3290207000,897240.0000000000,920773.3290207001,919657.7218324206,20,1970-01-01,0.0112217234,0.0066560000,922524.9999999999,1751.6709792998
2022-03-21,23533.3290207000,895155.0000000000,918688.3290207001,918115.0511835100,20,1970-01-01,-0.0022644009,-0.0016774400,920439.9999999999,1751.6709792998
2022-03-22,23533.3290207000,900704.0000000000,924237.3290207001,917371.0933763855,20,1970-01-01,0.0060401333,-0.0008103100,925988.9999999999,1751.6709792998
2022-03-23,23533.3290207000,902397.0000000000,925930.3290207001,921946.2890566707,20,1970-01-01,0.0018317806,0.0049872900,927681.9999999999,1751.6709792998
2022-03-24,23533.3290207000,899527.0000000000,923060.3290207001,916511.1483182579,20,1970-01-01,-0.0030995853,-0.0058952900,924811.9999999999,1751.6709792998
2022-03-25,23533.3290207000,891338.0000000000,914871.3290207001,899969.0202720388,20,1970-01-01,-0.0088715762,-0.0180490200,916622.9999999999,1751.6709792998
2022-03-28,23533.3290207000,888887.0000000000,912420.3290207001,894340.5870201868,20,1970-01-01,-0.0026790653,-0.0062540300,914171.9999999999,1751.6709792998
2022-03-29,23533.3290207000,885359.0000000000,908892.3290207001,891252.9566341524,20,1970-01-01,-0.0038666390,-0.0034524100,910643.9999999999,1751.6709792998
2022-03-30,23533.3290207000,899995.0000000000,923528.3290207001,917113.2226602550,20,1970-01-01,0.0161031175,0.0290156300,925279.9999999999,1751.6709792998
2022-03-31,23533.3290207000,898694.0000000000,922227.3290207001,910321.8891928691,20,1970-01-01,-0.0014087278,-0.0074051200,923978.9999999999,1751.6709792998
2022-04-01,23479.0333493302,900320.9999999999,923800.0333493301,921868.7943705849,20,1970-01-01,0.0017053326,0.0126844200,926872.9999999998,3072.9666506697
2022-04-06,23479.0333493302,904395.0000000000,927874.0333493302,919213.4711513437,20,1970-01-01,0.0044100453,-0.0028803700,930957.9999999999,3083.9666506697
2022-04-07,23479.0333493302,884480.0000000000,907959.0333493302,907412.1581941018,20,1970-01-01,-0.0214630427,-0.0128384900,911041.9999999999,3082.9666506697
2022-04-08,23479.0333493302,887846.0000000000,911325.0333493302,912083.2256125945,20,1970-01-01,0.0037072157,0.0051476800,914409.9999999999,3084.9666506697
2022-04-11,23479.0333493302,865312.0000000000,888791.0333493302,883907.2053319638,20,1970-01-01,-0.0247266334,-0.0308919400,891877.9999999999,3086.9666506697
2022-04-12,23479.0333493302,872649.0000000000,896128.0333493302,901132.8419839055,20,1970-01-01,0.0082550338,0.0194880600,899214.9999999999,3086.9666506697
2022-04-13,23479.0333493302,860163.0000000000,883642.0333493302,892458.6904395516,20,1970-01-01,-0.0139332769,-0.0096258300,886728.9999999999,3086.9666506697
2022-04-14,23479.0333493302,869651.0000000000,893130.0333493302,903632.6837748523,20,1970-01-01,0.0107373797,0.0125204600,896224.9999999999,3094.9666506697
2022-04-15,23479.0333493302,867334.0000000000,890813.0333493302,903024.4757243840,20,1970-01-01,-0.0025942471,-0.0006730700,893918.9999999999,3105.9666506697
2022-04-18,23479.0333493302,875491.0000000001,898970.0333493303,898203.4267138762,20,1970-01-01,0.0091568036,-0.0053387800,902069.0000000000,3098.9666506697
2022-04-19,23479.0333493302,873039.0000000000,896518.0333493302,891416.2782683925,20,1970-01-01,-0.0027275659,-0.0075563600,899621.9999999999,3103.9666506697
2022-04-20,23479.0333493302,851431.0000000000,874910.0333493302,877594.6192772832,20,1970-01-01,-0.0241021365,-0.0155052800,877989.9999999999,3079.9666506697
2022-04-21,23479.0333493302,820532.0000000001,844011.0333493303,861434.7235971042,20,1970-01-01,-0.0353167741,-0.0184138500,847074.0000000000,3062.9666506697
2022-04-22,23479.0333493302,813373.0000000000,836852.0333493302,865190.1396602785,20,1970-01-01,-0.0084821166,0.0043594900,839915.9999999999,3063.9666506697
2022-04-25,23479.0333493302,766839.0000000000,790318.0333493302,822431.9497998878,20,1970-01-01,-0.0556060070,-0.0494205700,793354.9999999999,3036.9666506697
2022-04-26,23479.0333493302,761845.0000000000,785324.0333493302,815793.5093820491,20,1970-01-01,-0.0063189751,-0.0080717200,788338.9999999999,3014.9666506697
2022-04-27,23479.0333493302,793225.0000000000,816704.0333493302,839813.0155740059,20,1970-01-01,0.0399580284,0.0294431200,819732.9999999999,3028.9666506697
2022-04-28,23479.0333493302,797689.0000000000,821168.0333493302,845325.7413652273,20,1970-01-01,0.0054658724,0.0065642300,824192.9999999999,3024.9666506697
2022-04-29,23479.0333493302,818712.0000000000,842191.0333493302,865834.9922359434,20,1970-01-01,0.0256013375,0.0242619500,845240.9999999999,3049.9666506697
2022-05-05,14473.3271008204,840701.9999999999,855175.3271008203,864534.8544116019,20,1970-01-01,0.0154172785,-0.0015016000,859426.9999999999,4251.6728991796
2022-05-06,14473.3271008204,823107.9999999999,837581.3271008203,842675.7303735969,20,1970-01-01,-0.0205735589,-0.0252842600,841791.9999999999,4210.6728991796
2022-05-09,14473.3271008204,820109.9999999999,834583.3271008203,835911.0245466633,20,1970-01-01,-0.0035793539,-0.0080276500,838734.9999999999,4151.6728991796
2022-05-10,14473.3271008204,825797.9999999999,840271.3271008203,845058.6580206951,20,1970-01-01,0.0068153770,0.0109433100,844446.9999999999,4175.6728991796
2022-05-11,14473.3271008204,831828.9999999999,846302.3271008203,857250.9108210203,20,1970-01-01,0.0071774435,0.0144277000,850488.9999999999,4186.6728991796
2022-05-12,14473.3271008204,832311.9999999999,846785.3271008203,853438.7245931083,20,1970-01-01,0.0005707180,-0.0044469900,850981.9999999999,4196.6728991796
2022-05-13,14473.3271008204,840910.9999999998,855384.3271008201,859876.0848769055,20,1970-01-01,0.0101548760,0.0075428500,859655.9999999998,4271.6728991796
2022-05-16,14473.3271008204,835295.9999999999,849769.3271008203,852963.9623698617,20,1970-01-01,-0.0065643008,-0.0080385100,854025.9999999999,4256.6728991796
2022-05-17,14473.3271008204,834686.9999999999,849160.3271008203,863604.2101406069,20,1970-01-01,-0.0007166651,0.0124744400,853420.9999999999,4260.6728991796
2022-05-18,14473.3271008204,840880.9999999999,855354.3271008203,860588.9533129851,20,1970-01-01,0.0072942645,-0.0034914800,859570.9999999999,4216.6728991796
2022-05-19,14473.3271008204,841766.9999999999,856240.3271008203,862247.1102905601,20,1970-01-01,0.0010358280,0.0019267700,860408.9999999999,4168.6728991796
2022-05-20,14473.3271008204,858779.9999999999,873253.3271008203,879062.9207320508,20,1970-01-01,0.0198694215,0.0195023100,877499.9999999999,4246.6728991796
2022-05-23,14473.3271008204,866404.9999999999,880878.3271008203,873971.3795045416,20,1970-01-01,0.0087317159,-0.0057920100,885042.9999999999,4164.6728991796
2022-05-24,14473.3271008204,841325.9999999999,855799.3271008203,853527.9915971404,20,1970-01-01,-0.0284704473,-0.0233913700,859863.9999999999,4064.6728991796
2022-05-25,14473.3271008204,848719.3510482690,863192.6781490893,858707.2335912714,20,1970-01-01,0.0086391176,0.0060680400,867266.3510482690,4073.6728991796
2022-05-26,14473.3271008204,855257.9541686981,869731.2812695184,860834.2256476601,20,1970-01-01,0.0075749057,0.0024769700,873814.9541686981,4083.6728991796
2022-05-27,14473.3271008204,850698.0229156507,865171.3500164711,862613.6905088654,20,1970-01-01,-0.0052429197,0.0020671400,869224.0229156507,4052.6728991796
2022-05-30,14473.3271008204,851731.4423308417,866204.7694316620,868589.4727282763,20,1970-01-01,0.0011944679,0.0069275300,870304.4423308417,4099.6728991796
2022-05-31,14473.3271008204,861061.7118447468,875535.0389455672,882063.3713791317,20,1970-01-01,0.0107714363,0.0155123900,879686.7118447468,4151.6728991796
2022-06-01,33622.9345572160,835909.1349036401,869532.0694608561,880265.3204791102,20,1970-01-01,-0.0068563441,-0.0020384600,874508.8828314801,4976.8133706240
2022-06-02,33622.9345572160,839705.9720928458,873328.9066500618,881643.1117587241,20,1970-01-01,0.0043665292,0.0015652000,878316.7200206858,4987.8133706240
2022-06-06,33622.9345572160,856784.1454959047,890407.0800531207,898138.8659740767,20,1970-01-01,0.0195552595,0.0187102400,895395.8934237447,4988.8133706240
2022-06-07,33622.9345572160,858796.9561838651,892419.8907410811,900950.8309867777,20,1970-01-01,0.0022605511,0.0031308800,897413.3191351793,4993.4283940982
2022-06-08,33622.9345572160,857910.7008241103,891533.6353813263,909721.5602979091,20,1970-01-01,-0.0009930923,0.0097349700,896532.7633059409,4999.1279246146
2022-06-09,33622.9345572160,854631.2898828784,888254.2244400944,900206.2457630327,20,1970-01-01,-0.0036783928,-0.0104595900,893233.0284210471,4978.8039809527
2022-06-10,33622.9345572160,867120.8394916346,900743.7740488506,913856.7482222219,20,1970-01-01,0.0140607827,0.0151637500,905773.5780298032,5029.8039809526
2022-06-13,33622.9345572160,864596.6254056995,898219.5599629155,903154.9922178956,20,1970-01-01,-0.0028023664,-0.0117105400,903239.6127701593,5020.0528072438
2022-06-14,33622.9345572160,873359.2868270245,906982.2213842405,910260.3383304219,20,1970-01-01,0.0097555896,0.0078672500,912087.4244262262,5105.2030419856
2022-06-15,33622.9345572160,872399.3782937259,906022.3128509419,922312.8314947570,20,1970-01-01,-0.0010583543,0.0132407100,911150.1543905800,5127.8415396381
2022-06-16,33622.9345572160,883787.5501195043,917410.4846767203,916242.7771643273,20,1970-01-01,0.0125694165,-0.0065813400,922504.7628360768,5094.2781593564
2022-06-17,33622.9345572160,892745.6256130278,926368.5601702438,928958.5318622305,20,1970-01-01,0.0097645227,0.0138781500,931454.8007709149,5086.2406006710
