snapshot_date,execution_date,baostock_code,position_value,equivalent_shares,close_price,portfolio_weight
2022-01-31,2022-02-07,sh.600362,49800.0000000000,2400.0000000000,20.7500000000,0.0493128270
2022-01-31,2022-02-07,sz.000425,50286.0000000000,8700.0000000000,5.7800000000,0.0497940727
2022-01-31,2022-02-07,sh.601600,52266.0000000000,9300.0000000000,5.6200000000,0.0517547032
2022-01-31,2022-02-07,sh.603195,46314.0000000000,300.0000000000,154.3800000000,0.0458609291
2022-01-31,2022-02-07,sh.688009,50573.0000000000,10300.0000000000,4.9100000000,0.0500782651
2022-01-31,2022-02-07,sz.002032,48024.0000000000,900.0000000000,53.3600000000,0.0475542009
2022-01-31,2022-02-07,sz.300558,43428.0000000000,700.0000000000,62.0400000000,0.0430031617
2022-01-31,2022-02-07,sz.000157,50750.0000000000,7000.0000000000,7.2500000000,0.0502535336
2022-01-31,2022-02-07,sh.600183,49000.0000000000,2500.0000000000,19.6000000000,0.0485206531
2022-01-31,2022-02-07,sh.601360,49726.0000000000,4700.0000000000,10.5800000000,0.0492395509
2022-01-31,2022-02-07,sh.601766,50830.0000000000,8500.0000000000,5.9800000000,0.0503327510
2022-01-31,2022-02-07,sh.600143,51456.0000000000,4800.0000000000,10.7200000000,0.0509526271
2022-01-31,2022-02-07,sh.600848,50116.0000000000,3400.0000000000,14.7400000000,0.0496257357
2022-01-31,2022-02-07,sh.600690,47209.0000000000,1700.0000000000,27.7700000000,0.0467471737
2022-01-31,2022-02-07,sh.601138,49104.0000000000,4400.0000000000,11.1600000000,0.0486236357
2022-01-31,2022-02-07,sz.000800,50456.0000000000,5300.0000000000,9.5200000000,0.0499624097
2022-01-31,2022-02-07,sh.600276,49368.0000000000,1200.0000000000,41.1400000000,0.0488850531
2022-01-31,2022-02-07,sz.002601,50300.0000000000,2000.0000000000,25.1500000000,0.0498079357
2022-01-31,2022-02-07,sh.600606,51388.0000000000,11600.0000000000,4.4300000000,0.0508852923
2022-01-31,2022-02-07,sh.601216,50300.0000000000,10000.0000000000,5.0300000000,0.0498079357
2022-02-28,2022-03-01,sh.600362,50278.0000000000,2300.0000000000,21.8600000000,0.0500898461
2022-02-28,2022-03-01,sz.000425,50130.0000000000,9000.0000000000,5.5700000000,0.0499423999
2022-02-28,2022-03-01,sh.603195,44574.0000000000,300.0000000000,148.5800000000,0.0444071920
2022-02-28,2022-03-01,sh.688009,49852.0000000000,10300.0000000000,4.8400000000,0.0496654403
2022-02-28,2022-03-01,sz.002032,46260.0000000000,900.0000000000,51.4000000000,0.0460868825
2022-02-28,2022-03-01,sz.000157,49630.0000000000,7000.0000000000,7.0900000000,0.0494442710
2022-02-28,2022-03-01,sh.600183,48600.0000000000,2500.0000000000,19.4400000000,0.0484181256
2022-02-28,2022-03-01,sh.601360,49303.0000000000,4700.0000000000,10.4900000000,0.0491184948
2022-02-28,2022-03-01,sh.601766,50224.0000000000,8600.0000000000,5.8400000000,0.0500360481
2022-02-28,2022-03-01,sh.600690,48849.0000000000,1900.0000000000,25.7100000000,0.0486661938
