snapshot_date,signal_price_date,execution_date,status,target_holdings,actual_holdings_after_open,portfolio_value_before_trade,cash_after_trade,executed_sell_orders,executed_buy_orders,blocked_orders,total_transaction_cost
2022-01-31,2022-01-28,2022-02-07,EXECUTED,20,20,1000000.0000000000,19185.2341782401,0,20,0,803.7658217600
2022-02-28,2022-02-28,2022-03-01,EXECUTED,20,20,1000036.2341782399,23533.3290207000,8,10,0,947.9051575400
2022-03-31,2022-03-31,2022-04-01,EXECUTED,20,20,919550.3290207001,23479.0333493302,13,14,0,1317.2956713700
2022-04-30,2022-04-29,2022-05-05,EXECUTED,20,20,843107.0333493302,14473.3271008204,11,15,0,1043.7062485100
2022-05-31,2022-05-31,2022-06-01,EXECUTED,20,20,873367.5504033926,33622.9345572160,10,11,0,804.1404714445
2022-06-30,2022-06-30,2022-07-01,EXECUTED,20,20,936489.6079681279,20665.0717712185,9,15,0,1022.1451298374
2022-07-31,2022-07-29,2022-08-01,EXECUTED,20,19,922604.3759068581,73630.1204515161,13,15,1,1544.1448070403
2022-08-31,2022-08-31,2022-09-01,EXECUTED,20,19,900060.5089835235,104142.0527767010,9,11,0,1015.0676748150
2022-09-30,2022-09-30,2022-10-10,EXECUTED,20,20,852294.0017793906,60818.3511905558,8,12,0,892.6383656172
2022-10-31,2022-10-31,2022-11-01,EXECUTED,20,19,828604.1002471767,60100.8057654508,10,8,0,686.5454251050
2022-11-30,2022-11-30,2022-12-01,EXECUTED,20,20,899031.7007726704,41325.4420818410,12,13,0,1313.3636836099
2022-12-31,2022-12-30,2023-01-03,EXECUTED,20,20,866666.5322754302,29281.6408520681,13,16,0,1443.9215035667
2023-01-31,2023-01-31,2023-02-01,EXECUTED,20,20,923721.8110672396,29023.9710592149,11,12,0,1202.3603506372
2023-02-28,2023-02-28,2023-03-01,EXECUTED,20,20,947954.6928961802,40580.9988836210,11,15,0,1237.5098583836
2023-03-31,2023-03-31,2023-04-03,EXECUTED,20,20,999305.1444938993,15414.6893738954,12,18,0,1597.4551200041
2023-04-30,2023-04-28,2023-05-04,EXECUTED,20,20,954525.2817745862,17333.3480484041,9,9,0,776.9337261822
2023-05-31,2023-05-31,2023-06-01,EXECUTED,20,20,918347.6855349177,5339.5552479261,10,10,0,740.2165292916
2023-06-30,2023-06-30,2023-07-03,EXECUTED,20,20,944140.2006996147,18568.5587331109,11,9,0,1008.2145421516
2023-07-31,2023-07-31,2023-08-01,EXECUTED,20,20,1012039.6035799431,11587.6384712955,9,10,0,932.7452378612
2023-08-31,2023-08-31,2023-09-01,EXECUTED,20,20,961261.3238187035,3646.0888996884,6,9,0,440.4209113622
2023-09-30,2023-09-28,2023-10-09,EXECUTED,20,20,942413.1330262964,7385.7583023584,7,7,0,264.3305973300
2023-10-31,2023-10-31,2023-11-01,EXECUTED,20,20,902466.4363023554,4497.2109108184,8,7,0,340.5473915400
2023-11-30,2023-11-30,2023-12-01,EXECUTED,20,20,883804.0278077463,8325.6892642184,7,8,0,411.5216466000
2023-12-31,2023-12-29,2024-01-02,EXECUTED,20,20,860821.2196391809,1777.6649147934,11,9,0,583.0243494250
2024-01-31,2024-01-31,2024-02-01,EXECUTED,20,20,830404.2538045481,7414.1089729483,8,7,0,344.5559418450
2024-02-29,2024-02-29,2024-03-01,EXECUTED,20,20,930795.9360084467,10915.2636329197,5,10,0,445.4222631056
2024-03-31,2024-03-29,2024-04-01,EXECUTED,20,20,966276.7855810517,27695.5594833512,10,14,0,785.0655826559
2024-04-30,2024-04-30,2024-05-06,EXECUTED,20,20,989408.0357425555,4804.4902679948,7,11,0,479.8554868071
2024-05-31,2024-05-31,2024-06-03,EXECUTED,20,20,991491.5780077763,9400.9666258849,9,13,0,701.5236421100
2024-06-30,2024-06-28,2024-07-01,EXECUTED,20,20,969759.3476112103,10126.8814955724,8,11,0,661.3842403780
2024-07-31,2024-07-31,2024-08-01,EXECUTED,20,20,959600.4258937731,4423.5375824771,7,9,0,449.9294164923
2024-08-31,2024-08-30,2024-09-02,EXECUTED,20,20,925089.6565412642,4532.0095151588,9,10,0,389.0932660464
2024-09-30,2024-09-30,2024-10-08,EXECUTED,20,20,1248200.1533634628,11827.4082220012,7,13,0,755.6969307415
2024-10-31,2024-10-31,2024-11-01,EXECUTED,20,20,1083413.4839839931,6458.7984845088,6,9,0,318.4088915732
2024-11-30,2024-11-29,2024-12-02,EXECUTED,20,20,1127248.2764095331,14028.6177481462,6,14,0,704.8472470390
2024-12-31,2024-12-31,2025-01-02,EXECUTED,20,20,1137146.3549087949,1857.5987403092,5,10,0,313.1407009587
2025-01-31,2025-01-27,2025-02-05,EXECUTED,20,20,1111215.9798774470,7274.0860226925,10,10,0,653.0022276649
2025-02-28,2025-02-28,2025-03-03,EXECUTED,20,20,1128603.8355569870,13480.8876275424,8,13,0,683.9923725388
2025-03-31,2025-03-31,2025-04-01,EXECUTED,20,20,1137702.5812055683,14864.2334226964,9,10,0,763.0326987437
2025-04-30,2025-04-30,2025-05-06,EXECUTED,20,20,1087452.0715209029,12792.3179326865,12,12,0,1139.9154900099
2025-05-31,2025-05-30,2025-06-03,EXECUTED,20,20,1077289.9840938395,6325.7135111465,6,6,0,368.6044215400
2025-06-30,2025-06-30,2025-07-01,EXECUTED,20,20,1094674.3734758894,4267.3315233951,6,4,0,161.5335798593
2025-07-31,2025-07-31,2025-08-01,EXECUTED,20,20,1135752.5931918223,14223.6709138047,8,13,0,906.8482361498
2025-08-31,2025-08-29,2025-09-01,EXECUTED,20,20,1205834.7889986977,13624.6555766185,7,13,0,829.2416170349
2025-09-30,2025-09-30,2025-10-09,EXECUTED,20,20,1196994.6892495051,7858.6439008449,6,12,0,362.7384942078
