snapshot_date,execution_date,baostock_code,symbol,stock_name,industry,side,status,status_reason,requested_value,filled_mid_value,filled_shares,market_open_price,execution_price,commission,transfer_fee,stamp_duty,slippage_cost,total_cost,cash_after
2022-01-31,2022-02-07,sh.600362,600362.SS,江西铜业,C32有色金属冶炼和压延加工业,BUY,EXECUTED,FILLED_AT_OPEN,50000.0000000000,49200.0000000000,2400,20.5000000000,20.5102500000,14.7673800000,0.9844920000,0.0000000000,24.6000000000,40.3518720000,950759.6481280000
2022-01-31,2022-02-07,sz.000425,000425.SZ,徐工机械,C35专用设备制造业,BUY,EXECUTED,FILLED_AT_OPEN,50000.0000000000,49590.0000000000,8700,5.7000000000,5.7028500000,14.8844385000,0.9922959000,0.0000000000,24.7950000000,40.6717344000,901128.9763936000
2022-01-31,2022-02-07,sh.601600,601600.SS,中国铝业,C32有色金属冶炼和压延加工业,BUY,EXECUTED,FILLED_AT_OPEN,50000.0000000000,49941.0000000000,9300,5.3700000000,5.3726850000,14.9897911500,0.9993194100,0.0000000000,24.9705000000,40.9596105600,851147.0167830400
2022-01-31,2022-02-07,sh.603195,603195.SS,公牛集团,C38电气机械和器材制造业,BUY,EXECUTED,FILLED_AT_OPEN,50000.0000000000,46800.0000000000,300,156.0000000000,156.0780000000,14.0470200000,0.9364680000,0.0000000000,23.4000000000,38.3834880000,804308.6332950400
2022-01-31,2022-02-07,sh.688009,688009.SS,中国通号,C37铁路、船舶、航空航天和其他运输设备制造业,BUY,EXECUTED,FILLED_AT_OPEN,50000.0000000000,49955.0000000000,10300,4.8500000000,4.8524250000,14.9939932500,0.9995995500,0.0000000000,24.9775000000,40.9710928000,754312.6622022400
2022-01-31,2022-02-07,sz.002032,002032.SZ,苏泊尔,C38电气机械和器材制造业,BUY,EXECUTED,FILLED_AT_OPEN,50000.0000000000,47043.0000000000,900,52.2700000000,52.2961350000,14.1199564500,0.9413304300,0.0000000000,23.5215000000,38.5827868800,707231.0794153600
2022-01-31,2022-02-07,sz.300558,300558.SZ,贝达药业,C27医药制造业,BUY,EXECUTED,FILLED_AT_OPEN,50000.0000000000,44191.0000000000,700,63.1300000000,63.1615650000,13.2639286500,0.8842619100,0.0000000000,22.0955000000,36.2436905600,663003.8357248000
2022-01-31,2022-02-07,sz.000157,000157.SZ,中联重科,C35专用设备制造业,BUY,EXECUTED,FILLED_AT_OPEN,50000.0000000000,49980.0000000000,7000,7.1400000000,7.1435700000,15.0014970000,1.0000998000,0.0000000000,24.9900000000,40.9915968000,612982.8441280000
2022-01-31,2022-02-07,sh.600183,600183.SS,生益科技,C39计算机、通信和其他电子设备制造业,BUY,EXECUTED,FILLED_AT_OPEN,50000.0000000000,49725.0000000000,2500,19.8900000000,19.8999450000,14.9249587500,0.9949972500,0.0000000000,24.8625000000,40.7824560000,563217.0616720000
2022-01-31,2022-02-07,sh.601360,601360.SS,三六零,I64互联网和相关服务,BUY,EXECUTED,FILLED_AT_OPEN,50000.0000000000,49303.0000000000,4700,10.4900000000,10.4952450000,14.7982954500,0.9865530300,0.0000000000,24.6515000000,40.4363484800,513873.6253235200
2022-01-31,2022-02-07,sh.601766,601766.SS,中国中车,C37铁路、船舶、航空航天和其他运输设备制造业,BUY,EXECUTED,FILLED_AT_OPEN,50000.0000000000,49980.0000000000,8500,5.8800000000,5.8829400000,15.0014970000,1.0000998000,0.0000000000,24.9900000000,40.9915968000,463852.6337267200
2022-01-31,2022-02-07,sh.600143,600143.SS,金发科技,C29橡胶和塑料制品业,BUY,EXECUTED,FILLED_AT_OPEN,50000.0000000000,49296.0000000000,4800,10.2700000000,10.2751350000,14.7961944000,0.9864129600,0.0000000000,24.6480000000,40.4306073600,414516.2031193600
