baostock_code,symbol,stock_name,instrument_type,first_date,last_date,number_of_rows,trading_rows,coverage_status
sh.000300,000300.SH,CSI 300,INDEX,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600009,600009.SS,上海机场,STOCK,2022-01-13,2026-09-08,1128,1127,AVAILABLE
sh.600015,600015.SS,华夏银行,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600018,600018.SS,上港集团,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600019,600019.SS,宝钢股份,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600031,600031.SS,三一重工,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600048,600048.SS,保利发展,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600050,600050.SS,中国联通,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600061,600061.SS,国投资本,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600085,600085.SS,同仁堂,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600089,600089.SS,特变电工,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600104,600104.SS,上汽集团,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600111,600111.SS,北方稀土,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600143,600143.SS,金发科技,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600161,600161.SS,天坛生物,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600183,600183.SS,生益科技,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600196,600196.SS,复星医药,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600219,600219.SS,南山铝业,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600276,600276.SS,恒瑞医药,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600332,600332.SS,白云山,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600346,600346.SS,恒力石化,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
sh.600352,600352.SS,浙江龙盛,STOCK,2022-01-13,2026-09-08,1128,1128,AVAILABLE
