snapshot_date,signal_price_date,baostock_code,symbol,stock_name,industry,close,target_snapshot_date_1m,target_price_date_1m,target_close_1m,forward_return_1m,target_snapshot_date_3m,target_price_date_3m,target_close_3m,forward_return_3m
2019-07-31,2019-07-31,sh.600000,600000.SS,浦发银行,J66货币金融服务,8.6844124900,2019-08-31,2019-08-30,8.2527525600,-0.0497051390,2019-10-31,2019-10-31,9.1526537700,0.0539174389
2019-07-31,2019-07-31,sh.600004,600004.SS,白云机场,G56航空运输业,16.1963989200,2019-08-31,2019-08-30,17.3474290000,0.0710670369,2019-10-31,2019-10-31,16.9763610000,0.0481565121
2019-07-31,2019-07-31,sh.600009,600009.SS,上海机场,G56航空运输业,78.6096263800,2019-08-31,2019-08-30,80.4402206000,0.0232871508,2019-10-31,2019-10-31,72.9752150000,-0.0716758448
2019-07-31,2019-07-31,sh.600010,600010.SS,包钢股份,C31黑色金属冶炼和压延加工业,1.5674105600,2019-08-31,2019-08-30,1.4880480000,-0.0506329114,2019-10-31,2019-10-31,1.3590838400,-0.1329113924
2019-07-31,2019-07-31,sh.600011,600011.SS,华能国际,D44电力、热力生产和供应业,5.4162226800,2019-08-31,2019-08-30,5.2334667000,-0.0337423313,2019-10-31,2019-10-31,4.7350413000,-0.1257668712
2019-07-31,2019-07-31,sh.600015,600015.SS,华夏银行,J66货币金融服务,5.0950922400,2019-08-31,2019-08-30,4.8794269600,-0.0423280423,2019-10-31,2019-10-31,5.0479154600,-0.0092592593
2019-07-31,2019-07-31,sh.600016,600016.SS,民生银行,J66货币金融服务,4.1970832900,2019-08-31,2019-08-30,4.0173070700,-0.0428336079,2019-10-31,2019-10-31,4.2523990500,0.0131795717
2019-07-31,2019-07-31,sh.600018,600018.SS,上港集团,G55水上运输业,5.8423601600,2019-08-31,2019-08-30,4.6064762800,-0.2115384615,2019-10-31,2019-10-31,4.6626528200,-0.2019230769
2019-07-31,2019-07-31,sh.600019,600019.SS,宝钢股份,C31黑色金属冶炼和压延加工业,4.4156490400,2019-08-31,2019-08-30,4.0211474800,-0.0893416928,2019-10-31,2019-10-31,4.0142264000,-0.0909090909
2019-07-31,2019-07-31,sh.600023,600023.SS,浙能电力,D44电力、热力生产和供应业,3.3191078400,2019-08-31,2019-08-30,3.0732480000,-0.0740740741,2019-10-31,2019-10-31,2.9810505600,-0.1018518519
2019-07-31,2019-07-31,sh.600025,600025.SS,华能水电,D44电力、热力生产和供应业,3.9553915500,2019-08-31,2019-08-30,3.8132316000,-0.0359408034,2019-10-31,2019-10-31,3.7296081000,-0.0570824524
2019-07-31,2019-07-31,sh.600027,600027.SS,华电国际,D44电力、热力生产和供应业,2.8698746400,2019-08-31,2019-08-30,2.7457324800,-0.0432569975,2019-10-31,2019-10-31,2.5704729600,-0.1043256997
2019-07-31,2019-07-31,sh.600028,600028.SS,中国石化,B07石油和天然气开采业,3.4344115700,2019-08-31,2019-08-30,3.2454211800,-0.0550284630,2019-10-31,2019-10-31,3.2665556000,-0.0488747393
2019-07-31,2019-07-31,sh.600029,600029.SS,南方航空,G56航空运输业,7.2800000000,2019-08-31,2019-08-30,6.5700000000,-0.0975274725,2019-10-31,2019-10-31,6.6600000000,-0.0851648352
2019-07-31,2019-07-31,sh.600030,600030.SS,中信证券,J67资本市场服务,18.5908063900,2019-08-31,2019-08-30,18.1395309600,-0.0242741181,2019-10-31,2019-10-31,17.6356551000,-0.0513776148
2019-07-31,2019-07-31,sh.600031,600031.SS,三一重工,C35专用设备制造业,12.3467962800,2019-08-31,2019-08-30,11.7784239300,-0.0460339943,2019-10-31,2019-10-31,11.7784239300,-0.0460339943
2019-07-31,2019-07-31,sh.600036,600036.SS,招商银行,J66货币金融服务,26.9396016000,2019-08-31,2019-08-30,25.2595608000,-0.0623632385,2019-10-31,2019-10-31,26.1585300000,-0.0289934354
2019-07-31,2019-07-31,sh.600038,600038.SS,中直股份,C37铁路、船舶、航空航天和其他运输设备制造业,41.8762999200,2019-08-31,2019-08-30,45.9245332000,0.0966712266,2019-10-31,2019-10-31,43.1652421200,0.0307797538
2019-07-31,2019-07-31,sh.600048,600048.SS,保利地产,K70房地产业,10.9438030800,2019-08-31,2019-08-30,10.3584906000,-0.0534834624,2019-10-31,2019-10-31,11.0978326800,0.0140745954
2019-07-31,2019-07-31,sh.600050,600050.SS,中国联通,I63电信、广播电视和卫星传输服务,4.9980056200,2019-08-31,2019-08-30,4.9305789000,-0.0134907251,2019-10-31,2019-10-31,5.1750007600,0.0354131535
2019-07-31,2019-07-31,sh.600061,600061.SS,国投资本,J67资本市场服务,7.8679538000,2019-08-31,2019-08-30,7.6932398000,-0.0222057735,2019-10-31,2019-10-31,7.1399788000,-0.0925240563
2019-07-31,2019-07-31,sh.600066,600066.SS,宇通客车,C36汽车制造业,8.3725096500,2019-08-31,2019-08-30,9.3650935500,0.1185527329,2019-10-31,2019-10-31,9.2168505000,0.1008468052
2019-07-31,2019-07-31,sh.600068,600068.SS,葛洲坝,Unknown,5.6570700400,2019-08-31,2019-08-30,5.2204986000,-0.0771727125,2019-10-31,2019-10-31,5.5395290700,-0.0207777116
2019-07-31,2019-07-31,sh.600085,600085.SS,同仁堂,C27医药制造业,25.3904811200,2019-08-31,2019-08-30,24.8891176000,-0.0197461213,2019-10-31,2019-10-31,24.6205300000,-0.0303244006
2019-07-31,2019-07-31,sh.600089,600089.SS,特变电工,C38电气机械和器材制造业,4.6345468500,2019-08-31,2019-08-30,4.2890743000,-0.0745428973,2019-10-31,2019-10-31,4.1847807000,-0.0970464135
2019-07-31,2019-07-31,sh.600100,600100.SS,同方股份,C39计算机、通信和其他电子设备制造业,8.8316449800,2019-08-31,2019-08-30,8.7327463800,-0.0111982083,2019-10-31,2019-10-31,8.1492446400,-0.0772676372
2019-07-31,2019-07-31,sh.600104,600104.SS,上汽集团,C36汽车制造业,20.2717252800,2019-08-31,2019-08-30,20.4675873600,0.0096618357,2019-10-31,2019-10-31,19.1781620000,-0.0539452496
2019-07-31,2019-07-31,sh.600109,600109.SS,国金证券,J67资本市场服务,8.7065694200,2019-08-31,2019-08-30,8.2285984400,-0.0548977395,2019-10-31,2019-10-31,7.9755549800,-0.0839612487
2019-07-31,2019-07-31,sh.600111,600111.SS,北方稀土,C32有色金属冶炼和压延加工业,10.8974722400,2019-08-31,2019-08-30,11.2658921200,0.0338078292,2019-10-31,2019-10-31,9.7437363000,-0.1058718861
2019-07-31,2019-07-31,sh.600115,600115.SS,东方航空,G56航空运输业,5.8248448200,2019-08-31,2019-08-30,5.0139156600,-0.1392190153,2019-10-31,2019-10-31,5.1226988400,-0.1205432937
