horizon_months,signal_column,base_factor,factor_name,category,signal_variant,number_of_periods,average_stocks_per_period,mean_ic,ic_standard_deviation,ic_ir,positive_ic_rate_percent,t_statistic
1,turnover_stability_20_zscore,turnover_stability_20,Turnover Stability,Liquidity,standardized,86,299.7441860465,0.0548710667,0.2322359187,0.2362729547,59.3023255814,2.1911052429
1,volatility_20_zscore,volatility_20,20-Day Volatility,Risk,standardized,86,299.7441860465,0.0521832211,0.2463640967,0.2118134168,58.1395348837,1.9642768193
1,downside_volatility_60_zscore,downside_volatility_60,60-Day Downside Volatility,Risk,standardized,86,299.7441860465,0.0453117857,0.2670838917,0.1696537572,60.4651162791,1.5733042208
1,value_pe_score_zscore,value_pe_score,Earnings Yield Style,Value,standardized,86,299.7441860465,0.0374032959,0.2519955083,0.1484284230,52.3255813953,1.3764685688
1,value_pb_score_zscore,value_pb_score,Book-to-Price Style,Value,standardized,86,299.7441860465,0.0366361757,0.2715583315,0.1349108883,55.8139534884,1.2511121094
1,turnover_stability_20_neutral,turnover_stability_20,Turnover Stability,Liquidity,neutralized,86,299.7441860465,0.0290903413,0.0888359041,0.3274615330,66.2790697674,3.0367533287
1,risk_category_score,risk_category_score,Risk Category,Category Composite,category,86,299.7441860465,0.0271890156,0.1354967796,0.2006617111,63.9534883721,1.8608601552
1,reversal_5_score_zscore,reversal_5_score,5-Day Reversal,Reversal,standardized,86,299.7441860465,0.0267719961,0.1991874409,0.1344060448,51.1627906977,1.2464303830
1,downside_volatility_60_neutral,downside_volatility_60,60-Day Downside Volatility,Risk,neutralized,86,299.7441860465,0.0266086779,0.1312461498,0.2027387316,61.6279069767,1.8801216509
1,momentum_12_1_zscore,momentum_12_1,12-1 Momentum,Momentum,standardized,80,299.7441860465,0.0263827450,0.2557854950,0.1031440229,56.2500000000,0.9225481870
1,volatility_20_neutral,volatility_20,20-Day Volatility,Risk,neutralized,86,299.7441860465,0.0263605158,0.1176368780,0.2240837757,60.4651162791,2.0780674469
1,momentum_12_1_neutral,momentum_12_1,12-1 Momentum,Momentum,neutralized,80,299.7441860465,0.0224940733,0.1471199407,0.1528961552,63.7500000000,1.3675447857
1,value_pcf_score_zscore,value_pcf_score,Cash-Flow Yield Style,Value,standardized,85,299.7441860465,0.0220635573,0.1618062346,0.1363578936,60.0000000000,1.2571576620
1,value_pe_score_neutral,value_pe_score,Earnings Yield Style,Value,neutralized,86,299.7441860465,0.0196151559,0.1162168980,0.1687805837,59.3023255814,1.5652067425
1,value_ps_score_zscore,value_ps_score,Sales-to-Price Style,Value,standardized,86,299.7441860465,0.0144895007,0.2063690244,0.0702116065,50.0000000000,0.6511156524
1,drawdown_60_zscore,drawdown_60,60-Day Drawdown,Risk,standardized,86,299.7441860465,0.0144712700,0.2209949280,0.0654823628,60.4651162791,0.6072584505
1,value_category_score,value_category_score,Value Category,Category Composite,category,86,299.7441860465,0.0143069400,0.1268051562,0.1128261691,54.6511627907,1.0463068485
1,value_pb_score_neutral,value_pb_score,Book-to-Price Style,Value,neutralized,86,299.7441860465,0.0140702514,0.1307590319,0.1076044325,48.8372093023,0.9978824554
1,reversal_5_score_neutral,reversal_5_score,5-Day Reversal,Reversal,neutralized,86,299.7441860465,0.0137622660,0.1032070034,0.1333462415,51.1627906977,1.2366021719
1,reversal_category_score,reversal_category_score,Reversal Category,Category Composite,category,86,299.7441860465,0.0137622660,0.1032070034,0.1333462415,51.1627906977,1.2366021719
1,amihud_liquidity_score_20_zscore,amihud_liquidity_score_20,Amihud Liquidity,Liquidity,standardized,86,299.7441860465,0.0110583945,0.1401322086,0.0789140100,54.6511627907,0.7318184225
1,equal_weight_composite_score,equal_weight_composite_score,Equal-Weight Composite,Composite,composite,86,299.7441860465,0.0106706762,0.1169448134,0.0912453989,62.7906976744,0.8461750192
1,value_ps_score_neutral,value_ps_score,Sales-to-Price Style,Value,neutralized,86,299.7441860465,0.0064811950,0.1203068244,0.0538722145,48.8372093023,0.4995903647
1,drawdown_60_neutral,drawdown_60,60-Day Drawdown,Risk,neutralized,86,299.7441860465,0.0062213245,0.1305296787,0.0476621455,62.7906976744,0.4420005543
1,value_pcf_score_neutral,value_pcf_score,Cash-Flow Yield Style,Value,neutralized,85,299.7441860465,0.0053527337,0.0678511871,0.0788893153,51.7647058824,0.7273235497
1,amihud_liquidity_score_20_neutral,amihud_liquidity_score_20,Amihud Liquidity,Liquidity,neutralized,86,299.7441860465,0.0006332151,0.0773769503,0.0081835102,50.0000000000,0.0758907518
1,momentum_120_zscore,momentum_120,120-Day Momentum,Momentum,standardized,86,299.7441860465,-0.0023471788,0.2318584674,-0.0101233256,50.0000000000,-0.0938798593
1,liquidity_category_score,liquidity_category_score,Liquidity Category,Category Composite,category,86,299.7441860465,-0.0077203583,0.1064925076,-0.0724967272,43.0232558140,-0.6723069905
1,momentum_category_score,momentum_category_score,Momentum Category,Category Composite,category,86,299.7441860465,-0.0107284904,0.1405396401,-0.0763378245,48.8372093023,-0.7079278609
1,momentum_120_neutral,momentum_120,120-Day Momentum,Momentum,neutralized,86,299.7441860465,-0.0111144219,0.1370241861,-0.0811128471,48.8372093023,-0.7522095992
1,trend_60_neutral,trend_60,60-Day MA Trend,Trend,neutralized,86,299.7441860465,-0.0130719217,0.1271694456,-0.1027913714,50.0000000000,-0.9532479627
1,trend_category_score,trend_category_score,Trend Category,Category Composite,category,86,299.7441860465,-0.0130719217,0.1271694456,-0.1027913714,50.0000000000,-0.9532479627
1,momentum_20_neutral,momentum_20,20-Day Momentum,Momentum,neutralized,86,299.7441860465,-0.0135212041,0.1172001246,-0.1153685130,52.3255813953,-1.0698835757
1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,86,299.7441860465,-0.0168222368,0.2033795504,-0.0827135114,53.4883720930,-0.7670535495
1,momentum_60_neutral,momentum_60,60-Day Momentum,Momentum,neutralized,86,299.7441860465,-0.0193039662,0.1265374634,-0.1525553439,47.6744186047,-1.4147400586
1,liquidity_amount_20_neutral,liquidity_amount_20,20-Day Amount Liquidity,Liquidity,neutralized,86,299.7441860465,-0.0199427149,0.1170019496,-0.1704477143,40.6976744186,-1.5806670757
1,liquidity_amount_20_zscore,liquidity_amount_20,20-Day Amount Liquidity,Liquidity,standardized,86,299.7441860465,-0.0226502269,0.1828007785,-0.1239066215,44.1860465116,-1.1490627366
1,trend_60_zscore,trend_60,60-Day MA Trend,Trend,standardized,86,299.7441860465,-0.0236772120,0.2172541274,-0.1089839458,51.1627906977,-1.0106755352
1,turnover_20_neutral,turnover_20,20-Day Turnover,Liquidity,neutralized,86,299.7441860465,-0.0279770576,0.1041142358,-0.2687150067,38.3720930233,-2.4919604563
1,momentum_60_zscore,momentum_60,60-Day Momentum,Momentum,standardized,86,299.7441860465,-0.0288684820,0.2096032358,-0.1377291809,51.1627906977,-1.2772478797
1,turnover_20_zscore,turnover_20,20-Day Turnover,Liquidity,standardized,86,299.7441860465,-0.0512122178,0.2530991745,-0.2023405170,44.1860465116,-1.8764287608
3,volatility_20_zscore,volatility_20,20-Day Volatility,Risk,standardized,84,299.6666666667,0.0897540965,0.2382737707,0.3766847533,67.8571428571,3.4523727904
3,turnover_stability_20_zscore,turnover_stability_20,Turnover Stability,Liquidity,standardized,84,299.6666666667,0.0869625125,0.2285520602,0.3804932341,66.6666666667,3.4872780937
3,downside_volatility_60_zscore,downside_volatility_60,60-Day Downside Volatility,Risk,standardized,84,299.6666666667,0.0749258111,0.2494022421,0.3004215619,64.2857142857,2.7534090959
3,value_pb_score_zscore,value_pb_score,Book-to-Price Style,Value,standardized,84,299.6666666667,0.0696497809,0.2620503891,0.2657877409,61.9047619048,2.4359848830
3,value_pe_score_zscore,value_pe_score,Earnings Yield Style,Value,standardized,84,299.6666666667,0.0678132345,0.2401332418,0.2823983635,61.9047619048,2.5882237535
3,turnover_stability_20_neutral,turnover_stability_20,Turnover Stability,Liquidity,neutralized,84,299.6666666667,0.0545371958,0.0826927243,0.6595162538,76.1904761905,6.0445663100
3,volatility_20_neutral,volatility_20,20-Day Volatility,Risk,neutralized,84,299.6666666667,0.0515860954,0.1101562214,0.4682994268,61.9047619048,4.2920351420
3,risk_category_score,risk_category_score,Risk Category,Category Composite,category,84,299.6666666667,0.0509762725,0.1245981841,0.4091253248,71.4285714286,3.7496955394
3,momentum_12_1_zscore,momentum_12_1,12-1 Momentum,Momentum,standardized,78,299.6666666667,0.0468979454,0.2214483157,0.2117782889,64.1025641026,1.8703752047
