snapshot_date,factor_column,number_of_stocks,size_correlation_before,size_correlation_after,mean_absolute_industry_score_before,mean_absolute_industry_score_after
2019-07-31,momentum_20,300,0.09568775,-0.00000000,0.53196575,0.00000000
2019-07-31,momentum_60,300,0.09323666,0.00000000,0.51017584,0.00000000
2019-07-31,momentum_120,300,0.07500371,-0.00000000,0.56102240,0.00000000
2019-07-31,momentum_12_1,300,0.00000000,0.00000000,0.00000000,0.00000000
2019-07-31,reversal_5_score,300,0.02101021,0.00000000,0.41210775,0.00000000
2019-07-31,volatility_20,300,0.29483722,-0.00000000,0.51892071,0.00000000
2019-07-31,downside_volatility_60,300,0.34780116,-0.00000000,0.54628758,0.00000000
2019-07-31,drawdown_60,300,0.26499254,0.00000000,0.50593722,0.00000000
2019-07-31,trend_60,300,0.10091908,-0.00000000,0.55769993,0.00000000
2019-07-31,liquidity_amount_20,300,0.53176957,0.00000000,0.62172667,0.00000000
2019-07-31,turnover_20,300,-0.44171496,0.00000000,0.44458768,0.00000000
2019-07-31,turnover_stability_20,300,0.44415801,0.00000000,0.44831165,0.00000000
2019-07-31,amihud_liquidity_score_20,300,0.54176235,0.00000000,0.66598895,0.00000000
2019-07-31,value_pe_score,300,0.19775723,0.00000000,0.60640733,0.00000000
2019-07-31,value_pb_score,300,0.08303252,0.00000000,0.70265036,0.00000000
2019-07-31,value_ps_score,300,0.09030869,-0.00000000,0.67697871,0.00000000
2019-07-31,value_pcf_score,300,0.00522138,0.00000000,0.47826564,0.00000000
2019-08-31,momentum_20,300,0.05496464,0.00000000,0.57470942,0.00000000
2019-08-31,momentum_60,300,0.10470890,0.00000000,0.56747501,0.00000000
2019-08-31,momentum_120,300,0.30311710,0.00000000,0.55320435,0.00000000
2019-08-31,momentum_12_1,300,0.00000000,0.00000000,0.00000000,0.00000000
2019-08-31,reversal_5_score,300,0.03744175,-0.00000000,0.50909525,0.00000000
2019-08-31,volatility_20,300,0.24370718,0.00000000,0.50200056,0.00000000
