horizon_months,signal_column,base_factor,factor_name,category,signal_variant,number_of_periods,quantile_monotonicity,average_q5_minus_q1_return,q5_minus_q1_positive_rate_percent,average_q1_return,average_q2_return,average_q3_return,average_q4_return,average_q5_return
1,momentum_12_1_zscore,momentum_12_1,12-1 Momentum,Momentum,standardized,86,1.0000000000,0.0129644315,61.6279069767,-0.0021101550,0.0045435742,0.0051314318,0.0094306668,0.0108542766
1,momentum_12_1_neutral,momentum_12_1,12-1 Momentum,Momentum,neutralized,86,1.0000000000,0.0084224558,63.9534883721,0.0014965610,0.0020376431,0.0056939899,0.0087030113,0.0099190168
1,reversal_5_score_zscore,reversal_5_score,5-Day Reversal,Reversal,standardized,86,0.9000000000,0.0067496399,51.1627906977,0.0025084608,0.0056982586,0.0025939362,0.0077833039,0.0092581007
1,momentum_120_zscore,momentum_120,120-Day Momentum,Momentum,standardized,86,0.9000000000,0.0055177129,56.9767441860,0.0025743988,0.0054891869,0.0060951715,0.0055985372,0.0080921117
1,amihud_liquidity_score_20_zscore,amihud_liquidity_score_20,Amihud Liquidity,Liquidity,standardized,86,0.9000000000,0.0050354111,53.4883720930,0.0032581510,0.0050126290,0.0059050820,0.0053994179,0.0082935621
1,liquidity_amount_20_zscore,liquidity_amount_20,20-Day Amount Liquidity,Liquidity,standardized,86,0.1000000000,0.0050104870,48.8372093023,0.0049915818,0.0054187116,0.0038617301,0.0035748829,0.0100020687
1,liquidity_category_score,liquidity_category_score,Liquidity Category,Category Composite,category,86,0.2000000000,0.0046855460,47.6744186047,0.0048978982,0.0061275593,0.0028792518,0.0043673698,0.0095834442
1,liquidity_amount_20_neutral,liquidity_amount_20,20-Day Amount Liquidity,Liquidity,neutralized,86,0.2000000000,0.0033172620,51.1627906977,0.0053065549,0.0070226407,0.0021390926,0.0047605268,0.0086238169
1,equal_weight_composite_score,equal_weight_composite_score,Equal-Weight Composite,Composite,composite,86,0.5000000000,0.0032346548,56.9767441860,0.0052554809,0.0040046484,0.0057464838,0.0043762235,0.0084901357
1,reversal_5_score_neutral,reversal_5_score,5-Day Reversal,Reversal,neutralized,86,0.8000000000,0.0029860931,50.0000000000,0.0035045543,0.0056308337,0.0053944146,0.0068060775,0.0064906474
1,reversal_category_score,reversal_category_score,Reversal Category,Category Composite,category,86,0.8000000000,0.0029860931,50.0000000000,0.0035045543,0.0056308337,0.0053944146,0.0068060775,0.0064906474
1,amihud_liquidity_score_20_neutral,amihud_liquidity_score_20,Amihud Liquidity,Liquidity,neutralized,86,0.3000000000,0.0026561818,48.8372093023,0.0058932535,0.0049432097,0.0032077742,0.0052651348,0.0085494353
1,turnover_stability_20_zscore,turnover_stability_20,Turnover Stability,Liquidity,standardized,86,0.3000000000,0.0022982412,52.3255813953,0.0041829991,0.0069782627,0.0053068168,0.0049298473,0.0064812404
1,drawdown_60_zscore,drawdown_60,60-Day Drawdown,Risk,standardized,86,0.4000000000,0.0021863289,62.7906976744,0.0044646344,0.0066767809,0.0047976928,0.0052635924,0.0066509633
1,turnover_stability_20_neutral,turnover_stability_20,Turnover Stability,Liquidity,neutralized,86,0.7000000000,0.0013446961,54.6511627907,0.0048911763,0.0054618338,0.0059998871,0.0052309571,0.0062358723
1,momentum_category_score,momentum_category_score,Momentum Category,Category Composite,category,86,0.3000000000,0.0005164363,55.8139534884,0.0064041912,0.0050715112,0.0039271711,0.0055172705,0.0069206276
1,value_pe_score_neutral,value_pe_score,Earnings Yield Style,Value,neutralized,86,0.1000000000,0.0001476934,51.1627906977,0.0049167653,0.0062974858,0.0053859335,0.0061713406,0.0050644587
1,value_pcf_score_zscore,value_pcf_score,Cash-Flow Yield Style,Value,standardized,86,0.0000000000,0.0000622748,51.1627906977,0.0046506554,0.0068692868,0.0067165210,0.0049252277,0.0047129303
1,turnover_20_zscore,turnover_20,20-Day Turnover,Liquidity,standardized,86,0.0000000000,-0.0000633265,47.6744186047,0.0064091877,0.0047635308,0.0050603183,0.0052697920,0.0063458613
1,momentum_20_neutral,momentum_20,20-Day Momentum,Momentum,neutralized,86,-0.3000000000,-0.0001200218,55.8139534884,0.0071449680,0.0056137411,0.0030509724,0.0049834858,0.0070249462
1,turnover_20_neutral,turnover_20,20-Day Turnover,Liquidity,neutralized,86,-0.3000000000,-0.0002711408,44.1860465116,0.0064605635,0.0050481072,0.0052395709,0.0048985190,0.0061894227
1,value_pcf_score_neutral,value_pcf_score,Cash-Flow Yield Style,Value,neutralized,86,0.0000000000,-0.0003056532,48.8372093023,0.0065521855,0.0044051877,0.0046852534,0.0059730641,0.0062465324
1,momentum_120_neutral,momentum_120,120-Day Momentum,Momentum,neutralized,86,0.0000000000,-0.0005982854,53.4883720930,0.0075837521,0.0037818935,0.0039448399,0.0055394681,0.0069854667
1,drawdown_60_neutral,drawdown_60,60-Day Drawdown,Risk,neutralized,86,0.0000000000,-0.0006129143,60.4651162791,0.0055850326,0.0056075223,0.0056827792,0.0060111872,0.0049721184
1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,86,0.1000000000,-0.0007237284,52.3255813953,0.0053306726,0.0042783270,0.0070862982,0.0065598667,0.0046069441
1,value_pb_score_zscore,value_pb_score,Book-to-Price Style,Value,standardized,86,-0.2000000000,-0.0011112634,47.6744186047,0.0069907381,0.0053078836,0.0029942032,0.0066971189,0.0058794747
1,downside_volatility_60_neutral,downside_volatility_60,60-Day Downside Volatility,Risk,neutralized,86,-0.5000000000,-0.0011779152,54.6511627907,0.0059282941,0.0081474283,0.0044551176,0.0045749173,0.0047503789
1,value_category_score,value_category_score,Value Category,Category Composite,category,86,-0.4000000000,-0.0012115664,46.5116279070,0.0077830836,0.0052813248,0.0046743557,0.0035348659,0.0065715172
1,value_ps_score_zscore,value_ps_score,Sales-to-Price Style,Value,standardized,86,-0.2000000000,-0.0013836293,47.6744186047,0.0066107717,0.0022365168,0.0080908640,0.0057065815,0.0052271424
1,value_pb_score_neutral,value_pb_score,Book-to-Price Style,Value,neutralized,86,-0.1000000000,-0.0013882248,48.8372093023,0.0074765634,0.0053939809,0.0031453643,0.0057392732,0.0060883386
