baostock_code,symbol,stock_name,ipo_date,out_date,security_type,listing_status,industry,industry_classification,industry_update_date,first_hs300_snapshot,last_hs300_snapshot,is_current_hs300_member,source,updated_at
sh.600068,600068.SS,葛洲坝,1997-05-26,2021-09-13,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600297,600297.SS,广汇汽车,2000-11-16,2024-08-28,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600705,600705.SS,中航产融,1996-05-16,2025-05-27,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2021-12-31,0,baostock,2026-09-08T21:06:08
sh.600837,600837.SS,海通证券,1994-02-24,2025-03-04,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2025-02-28,0,baostock,2026-09-08T21:06:08
sh.601989,601989.SS,中国重工,2009-12-16,2025-09-05,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2025-08-31,0,baostock,2026-09-08T21:06:08
sz.000413,000413.SZ,ST旭电,1996-09-25,2024-10-11,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2020-05-31,0,baostock,2026-09-08T21:06:08
sz.000627,000627.SZ,*ST天茂,1996-11-12,2025-09-30,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sz.000671,000671.SZ,ST阳光城,1996-12-18,2023-08-16,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sz.000961,000961.SZ,ST中南,2000-03-01,2024-07-11,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sz.002411,002411.SZ,必康退,2010-05-25,2023-07-12,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2020-05-31,0,baostock,2026-09-08T21:06:08
sz.002450,002450.SZ,康得退,2010-07-16,2021-05-31,1,0,Unknown,证监会行业分类,2026-09-07,2019-01-01,2019-05-31,0,baostock,2026-09-08T21:06:08
