snapshot_date,horizon_months,signal_column,base_factor,factor_name,category,signal_variant,quantile,mean_forward_return,number_of_stocks
2019-07-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,1,-0.0404389484,60
2019-07-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,2,-0.0189831492,60
2019-07-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,3,-0.0024504034,60
2019-07-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,4,-0.0212834866,60
2019-07-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,5,0.0076440606,60
2019-08-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,1,0.0223908481,60
2019-08-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,2,0.0277727283,60
2019-08-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,3,0.0091008868,60
2019-08-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,4,-0.0152825725,60
2019-08-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,5,0.0051132219,60
2019-09-30,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,1,-0.0040438779,60
2019-09-30,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,2,-0.0022011413,60
2019-09-30,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,3,0.0103857422,60
2019-09-30,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,4,0.0108367812,60
2019-09-30,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,5,0.0106710801,60
2019-10-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,1,0.0016119483,60
2019-10-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,2,-0.0062300054,60
2019-10-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,3,-0.0141995500,60
2019-10-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,4,-0.0045578537,60
2019-10-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,5,0.0000276474,60
2019-11-30,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,1,0.0804438438,60
2019-11-30,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,2,0.0777921480,60
2019-11-30,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,3,0.0782924340,60
2019-11-30,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,4,0.0692471239,60
2019-11-30,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,5,0.1060406346,60
2019-12-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,1,0.0042128697,60
2019-12-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,2,-0.0036218955,60
2019-12-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,3,-0.0197379470,60
2019-12-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,4,-0.0178003794,60
2019-12-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,5,-0.0112360022,60
2020-01-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,1,-0.0329493335,60
2020-01-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,2,-0.0222837950,60
2020-01-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,3,-0.0359919494,60
2020-01-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,4,0.0062323574,60
2020-01-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,5,0.0274244248,60
2020-02-29,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,1,-0.0760847721,60
2020-02-29,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,2,-0.0465242333,60
2020-02-29,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,3,-0.0588113559,60
2020-02-29,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,4,-0.0596098598,60
2020-02-29,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,5,-0.0878865462,60
2020-03-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,1,0.0950913605,60
2020-03-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,2,0.0548343651,60
2020-03-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,3,0.0286037071,59
2020-03-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,4,0.0205530877,60
2020-03-31,1,momentum_20_zscore,momentum_20,20-Day Momentum,Momentum,standardized,5,0.0331756067,60
