snapshot_date,number_of_holdings,target_number_of_holdings,number_of_industries,maximum_industry_holdings,retained_holdings,new_entries,buy_orders,sell_orders,hold_orders,invested_weight,cash_weight,buy_weight,sell_weight,gross_traded_weight,one_way_turnover,portfolio_status
2022-01-31,20,20,12,3,0,20,20,0,0,1.0000000000,0.0000000000,1.0000000000,-0.0000000000,1.0000000000,0.5000000000,FULLY_INVESTED
2022-02-28,20,20,11,3,13,7,7,7,13,1.0000000000,0.0000000000,0.3500000000,0.3500000000,0.7000000000,0.3500000000,FULLY_INVESTED
2022-03-31,20,20,12,3,9,11,11,11,9,1.0000000000,0.0000000000,0.5500000000,0.5500000000,1.1000000000,0.5500000000,FULLY_INVESTED
2022-04-30,20,20,12,3,11,9,9,9,11,1.0000000000,0.0000000000,0.4500000000,0.4500000000,0.9000000000,0.4500000000,FULLY_INVESTED
2022-05-31,20,20,13,3,13,7,7,7,13,1.0000000000,0.0000000000,0.3500000000,0.3500000000,0.7000000000,0.3500000000,FULLY_INVESTED
2022-06-30,20,20,11,3,12,8,8,8,12,1.0000000000,0.0000000000,0.4000000000,0.4000000000,0.8000000000,0.4000000000,FULLY_INVESTED
2022-07-31,20,20,11,3,7,13,13,13,7,1.0000000000,0.0000000000,0.6500000000,0.6500000000,1.3000000000,0.6500000000,FULLY_INVESTED
2022-08-31,20,20,10,3,11,9,9,9,11,1.0000000000,0.0000000000,0.4500000000,0.4500000000,0.9000000000,0.4500000000,FULLY_INVESTED
2022-09-30,20,20,10,3,11,9,9,9,11,1.0000000000,0.0000000000,0.4500000000,0.4500000000,0.9000000000,0.4500000000,FULLY_INVESTED
2022-10-31,20,20,9,3,13,7,7,7,13,1.0000000000,0.0000000000,0.3500000000,0.3500000000,0.7000000000,0.3500000000,FULLY_INVESTED
2022-11-30,20,20,12,3,9,11,11,11,9,1.0000000000,0.0000000000,0.5500000000,0.5500000000,1.1000000000,0.5500000000,FULLY_INVESTED
2022-12-31,20,20,11,3,7,13,13,13,7,1.0000000000,0.0000000000,0.6500000000,0.6500000000,1.3000000000,0.6500000000,FULLY_INVESTED
2023-01-31,20,20,13,3,10,10,10,10,10,1.0000000000,0.0000000000,0.5000000000,0.5000000000,1.0000000000,0.5000000000,FULLY_INVESTED
2023-02-28,20,20,12,3,10,10,10,10,10,1.0000000000,0.0000000000,0.5000000000,0.5000000000,1.0000000000,0.5000000000,FULLY_INVESTED
2023-03-31,20,20,11,3,8,12,12,12,8,1.0000000000,0.0000000000,0.6000000000,0.6000000000,1.2000000000,0.6000000000,FULLY_INVESTED
2023-04-30,20,20,11,3,14,6,6,6,14,1.0000000000,0.0000000000,0.3000000000,0.3000000000,0.6000000000,0.3000000000,FULLY_INVESTED
2023-05-31,20,20,12,3,14,6,6,6,14,1.0000000000,0.0000000000,0.3000000000,0.3000000000,0.6000000000,0.3000000000,FULLY_INVESTED
2023-06-30,20,20,12,3,12,8,8,8,12,1.0000000000,0.0000000000,0.4000000000,0.4000000000,0.8000000000,0.4000000000,FULLY_INVESTED
2023-07-31,20,20,12,3,13,7,7,7,13,1.0000000000,0.0000000000,0.3500000000,0.3500000000,0.7000000000,0.3500000000,FULLY_INVESTED
2023-08-31,20,20,11,3,16,4,4,4,16,1.0000000000,0.0000000000,0.2000000000,0.2000000000,0.4000000000,0.2000000000,FULLY_INVESTED
2023-09-30,20,20,10,3,18,2,2,2,18,1.0000000000,0.0000000000,0.1000000000,0.1000000000,0.2000000000,0.1000000000,FULLY_INVESTED
2023-10-31,20,20,10,3,17,3,3,3,17,1.0000000000,0.0000000000,0.1500000000,0.1500000000,0.3000000000,0.1500000000,FULLY_INVESTED
2023-11-30,20,20,10,3,16,4,4,4,16,1.0000000000,0.0000000000,0.2000000000,0.2000000000,0.4000000000,0.2000000000,FULLY_INVESTED
2023-12-31,20,20,10,3,14,6,6,6,14,1.0000000000,0.0000000000,0.3000000000,0.3000000000,0.6000000000,0.3000000000,FULLY_INVESTED
2024-01-31,20,20,10,3,17,3,3,3,17,1.0000000000,0.0000000000,0.1500000000,0.1500000000,0.3000000000,0.1500000000,FULLY_INVESTED
2024-02-29,20,20,11,3,16,4,4,4,16,1.0000000000,0.0000000000,0.2000000000,0.2000000000,0.4000000000,0.2000000000,FULLY_INVESTED
2024-03-31,20,20,13,3,13,7,7,7,13,1.0000000000,0.0000000000,0.3500000000,0.3500000000,0.7000000000,0.3500000000,FULLY_INVESTED
2024-04-30,20,20,13,3,16,4,4,4,16,1.0000000000,0.0000000000,0.2000000000,0.2000000000,0.4000000000,0.2000000000,FULLY_INVESTED
2024-05-31,20,20,11,3,14,6,6,6,14,1.0000000000,0.0000000000,0.3000000000,0.3000000000,0.6000000000,0.3000000000,FULLY_INVESTED
2024-06-30,20,20,12,3,14,6,6,6,14,1.0000000000,0.0000000000,0.3000000000,0.3000000000,0.6000000000,0.3000000000,FULLY_INVESTED
2024-07-31,20,20,11,3,16,4,4,4,16,1.0000000000,0.0000000000,0.2000000000,0.2000000000,0.4000000000,0.2000000000,FULLY_INVESTED
2024-08-31,20,20,12,3,17,3,3,3,17,1.0000000000,0.0000000000,0.1500000000,0.1500000000,0.3000000000,0.1500000000,FULLY_INVESTED
2024-09-30,20,20,11,3,15,5,5,5,15,1.0000000000,0.0000000000,0.2500000000,0.2500000000,0.5000000000,0.2500000000,FULLY_INVESTED
2024-10-31,20,20,10,3,18,2,2,2,18,1.0000000000,0.0000000000,0.1000000000,0.1000000000,0.2000000000,0.1000000000,FULLY_INVESTED
2024-11-30,20,20,10,3,15,5,5,5,15,1.0000000000,0.0000000000,0.2500000000,0.2500000000,0.5000000000,0.2500000000,FULLY_INVESTED
2024-12-31,20,20,11,3,18,2,2,2,18,1.0000000000,0.0000000000,0.1000000000,0.1000000000,0.2000000000,0.1000000000,FULLY_INVESTED
2025-01-31,20,20,12,3,15,5,5,5,15,1.0000000000,0.0000000000,0.2500000000,0.2500000000,0.5000000000,0.2500000000,FULLY_INVESTED
2025-02-28,20,20,13,3,15,5,5,5,15,1.0000000000,0.0000000000,0.2500000000,0.2500000000,0.5000000000,0.2500000000,FULLY_INVESTED
2025-03-31,20,20,14,3,14,6,6,6,14,1.0000000000,0.0000000000,0.3000000000,0.3000000000,0.6000000000,0.3000000000,FULLY_INVESTED
2025-04-30,20,20,11,3,10,10,10,10,10,1.0000000000,0.0000000000,0.5000000000,0.5000000000,1.0000000000,0.5000000000,FULLY_INVESTED
2025-05-31,20,20,11,3,17,3,3,3,17,1.0000000000,0.0000000000,0.1500000000,0.1500000000,0.3000000000,0.1500000000,FULLY_INVESTED
2025-06-30,20,20,12,3,19,1,1,1,19,1.0000000000,0.0000000000,0.0500000000,0.0500000000,0.1000000000,0.0500000000,FULLY_INVESTED
2025-07-31,20,20,10,3,13,7,7,7,13,1.0000000000,0.0000000000,0.3500000000,0.3500000000,0.7000000000,0.3500000000,FULLY_INVESTED
2025-08-31,20,20,11,3,14,6,6,6,14,1.0000000000,0.0000000000,0.3000000000,0.3000000000,0.6000000000,0.3000000000,FULLY_INVESTED
2025-09-30,20,20,12,3,18,2,2,2,18,1.0000000000,0.0000000000,0.1000000000,0.1000000000,0.2000000000,0.1000000000,FULLY_INVESTED
2025-10-31,20,20,9,3,16,4,4,4,16,1.0000000000,0.0000000000,0.2000000000,0.2000000000,0.4000000000,0.2000000000,FULLY_INVESTED
2025-11-30,20,20,11,3,16,4,4,4,16,1.0000000000,0.0000000000,0.2000000000,0.2000000000,0.4000000000,0.2000000000,FULLY_INVESTED
2025-12-31,20,20,12,3,11,9,9,9,11,1.0000000000,0.0000000000,0.4500000000,0.4500000000,0.9000000000,0.4500000000,FULLY_INVESTED
2026-01-31,20,20,9,3,15,5,5,5,15,1.0000000000,0.0000000000,0.2500000000,0.2500000000,0.5000000000,0.2500000000,FULLY_INVESTED
2026-02-28,20,20,10,3,18,2,2,2,18,1.0000000000,0.0000000000,0.1000000000,0.1000000000,0.2000000000,0.1000000000,FULLY_INVESTED
2026-03-31,20,20,10,3,14,6,6,6,14,1.0000000000,0.0000000000,0.3000000000,0.3000000000,0.6000000000,0.3000000000,FULLY_INVESTED
2026-04-30,20,20,13,3,16,4,4,4,16,1.0000000000,0.0000000000,0.2000000000,0.2000000000,0.4000000000,0.2000000000,FULLY_INVESTED
2026-05-31,20,20,11,3,15,5,5,5,15,1.0000000000,0.0000000000,0.2500000000,0.2500000000,0.5000000000,0.2500000000,FULLY_INVESTED
2026-06-30,20,20,10,3,18,2,2,2,18,1.0000000000,0.0000000000,0.1000000000,0.1000000000,0.2000000000,0.1000000000,FULLY_INVESTED
2026-07-31,20,20,10,3,15,5,5,5,15,1.0000000000,0.0000000000,0.2500000000,0.2500000000,0.5000000000,0.2500000000,FULLY_INVESTED
2026-08-31,20,20,10,3,16,4,4,4,16,1.0000000000,0.0000000000,0.2000000000,0.2000000000,0.4000000000,0.2000000000,FULLY_INVESTED
2026-09-08,20,20,10,3,14,6,6,6,14,1.0000000000,0.0000000000,0.3000000000,0.3000000000,0.6000000000,0.3000000000,FULLY_INVESTED
