snapshot_date,signal_price_date,baostock_code,symbol,stock_name,industry,close,log_float_market_cap,size_zscore,momentum_20_zscore,momentum_60_zscore,momentum_120_zscore,momentum_12_1_zscore,reversal_5_score_zscore,volatility_20_zscore,downside_volatility_60_zscore,drawdown_60_zscore,trend_60_zscore,liquidity_amount_20_zscore,turnover_20_zscore,turnover_stability_20_zscore,amihud_liquidity_score_20_zscore,value_pe_score_zscore,value_pb_score_zscore,value_ps_score_zscore,value_pcf_score_zscore,momentum_20_neutral,momentum_60_neutral,momentum_120_neutral,momentum_12_1_neutral,reversal_5_score_neutral,volatility_20_neutral,downside_volatility_60_neutral,drawdown_60_neutral,trend_60_neutral,liquidity_amount_20_neutral,turnover_20_neutral,turnover_stability_20_neutral,amihud_liquidity_score_20_neutral,value_pe_score_neutral,value_pb_score_neutral,value_ps_score_neutral,value_pcf_score_neutral,momentum_category_score,reversal_category_score,risk_category_score,trend_category_score,liquidity_category_score,value_category_score,equal_weight_composite_score
2019-07-31,2019-07-31,sh.600000,600000.SS,浦发银行,J66货币金融服务,8.6844124900,26.1920738209,1.8110225612,0.6042708991,0.0551139461,-0.1964588029,0.0000000000,-0.6179446181,1.2351278048,0.9153395959,0.6736495125,0.2944552754,0.3257557178,-0.9435446844,0.9359048398,0.8947556031,1.5759355742,1.4238914259,0.1262982285,1.5994002382,0.2648626051,0.0402104121,0.0460747299,0.0000000000,-0.4079664434,-0.1662636864,-0.7663322702,-0.4128471758,0.0999380302,-0.6148072621,0.0278441078,-0.0428154594,-0.3531669940,0.1441206891,0.3830135460,0.1934084789,0.4859437601,0.1389111684,-0.4079664434,-0.5661012913,0.0999380302,-0.5142804043,0.4287493409,-0.3232467002
2019-07-31,2019-07-31,sh.600004,600004.SS,白云机场,G56航空运输业,16.1963989200,24.2056232469,-0.0605572732,0.2444370438,0.6185548357,1.3674851174,0.0000000000,-0.7029557784,-0.8871544020,-1.1647221831,0.1663031125,0.5182926819,0.0095010899,-0.1331675284,-0.6867253732,0.0067783337,-0.7276311934,-0.0090099763,-0.6097883693,-1.1231378928,0.8928469963,0.8550067181,1.4669667242,0.0000000000,-1.1511036084,-1.5099157875,-1.6347283788,0.3687745465,0.9216867216,0.7264866197,0.2584112751,-1.1402505816,0.0211815690,-0.5986732689,-0.5116299107,-1.2842117558,-0.3788361806,1.2717565956,-1.1511036084,-1.1679597140,0.9216867216,-0.0701987742,-0.9855663437,-0.4652805716
2019-07-31,2019-07-31,sh.600009,600009.SS,上海机场,G56航空运输业,78.6096263800,25.1609864771,0.8395600414,0.1872534421,1.0892969020,1.8718769035,0.0000000000,-0.2686305740,-0.0190431114,0.0257544561,0.3960316238,0.9207164663,1.0821269727,0.0023652930,-0.3512042043,0.8444941301,-0.5626890528,-1.1071996351,-1.6715486642,-1.4198966059,0.6784326024,1.3062034490,2.0017866224,0.0000000000,-0.5937342687,-0.5851086424,-0.2614021023,0.4037354962,1.2666855624,1.5878086265,0.9701849471,-1.2141511896,0.6147798910,-0.3665189021,-2.1450843232,-2.9092389969,-0.7049547017,1.5769961107,-0.5937342687,-0.1862996911,1.2666855624,1.0247576749,-2.1769256845,0.3589801405
2019-07-31,2019-07-31,sh.600010,600010.SS,包钢股份,C31黑色金属冶炼和压延加工业,1.5674105600,24.6470589469,0.3553514663,-0.5184295085,-0.3644387560,-0.5599181916,0.0000000000,0.5660287201,1.0335276948,-0.3443200190,-0.7140804115,-1.0825800416,-0.0980601456,-0.4950365610,0.3961487521,0.6885287650,-0.0466494871,0.6718275058,0.6180456696,-0.5329334501,0.1061906121,0.2148463560,0.4725506194,0.0000000000,0.3495198391,-0.3918444504,-1.8029372049,-0.6046035212,-0.2582582587,1.1681420133,0.4879520461,-0.5801901548,1.0101434928,-1.7344316979,-1.0728329643,-1.1551703014,-0.7515883107,0.3139367401,0.3495198391,-1.1778539910,-0.2582582587,1.0914269219,-1.6752233989,-0.5342295396
2019-07-31,2019-07-31,sh.600011,600011.SS,华能国际,D44电力、热力生产和供应业,5.4162226800,24.7313009520,0.4347219979,0.6767550306,-0.5612152695,-0.7605510961,0.0000000000,-0.3407564864,1.0042331111,0.5267241949,0.6939185714,0.0127107342,-0.8786277543,-0.8756107185,0.9306282166,-0.2080869725,-0.4938797155,0.6863406135,1.0997868599,-0.6673849241,-0.1251971829,-0.8899723289,-0.3479898179,0.0000000000,0.5028920894,0.4164704978,-0.4913638535,-0.2624654624,-0.6062681840,-0.4911397472,-0.3283337074,0.4791433880,-0.3493537391,-1.2017268315,0.1608385713,1.6133031578,0.1561809139,-0.5392546494,0.5028920894,-0.1419452506,-0.6062681840,-0.3608448562,0.2589212400,-0.3491418992
2019-07-31,2019-07-31,sh.600015,600015.SS,华夏银行,J66货币金融服务,5.0950922400,24.8974512190,0.5912642715,0.0519194048,-0.1009360099,-0.7376151331,0.0000000000,-0.0094789801,1.7038084232,1.8024756932,0.9705972071,-0.1500623024,-1.0347230662,-0.9617940133,0.9616260615,0.3460330359,1.6680704594,1.7241783029,0.3113928678,1.5994002382,-0.2137939604,-0.0140951611,-0.5028020334,0.0000000000,0.2572635219,0.7076979218,0.8346659507,0.2591644289,-0.2462221141,-1.6439681472,-0.7177523249,0.6836451925,-0.2994166926,0.3193683368,0.7066091937,0.4628393244,0.3208473408,-0.2890554273,0.2572635219,0.7580011917,-0.2462221141,-1.0346303631,0.6431007291,0.0348384054
2019-07-31,2019-07-31,sh.600016,600016.SS,民生银行,J66货币金融服务,4.1970832900,25.7145245126,1.3610885598,0.0816823299,-0.0311984583,-0.5198262244,0.0000000000,-0.2144857032,1.7425676372,1.9068089773,1.0050951679,-0.0165324387,0.3473828187,-0.8663954682,0.8476719326,0.9806966635,1.7521478340,1.6814356685,0.2647367829,0.3117190493,-0.3010947319,-0.0130616820,-0.3092746463,0.0000000000,0.0498557319,0.5887193544,0.7439244188,0.0974933407,-0.2047233926,-0.2179295027,-0.1361627753,0.0977498036,0.0885781481,0.4294791354,0.7359004582,0.4009531195,-1.5186830015,-0.2466242136,0.0498557319,0.6017366675,-0.2047233926,-0.0877748523,0.0169332876,0.0509645897
2019-07-31,2019-07-31,sh.600018,600018.SS,上港集团,G55水上运输业,5.8423601600,25.5595230047,1.2150503446,1.2141703440,-0.1345002125,0.7179577394,0.0000000000,-2.3220816789,-1.1096775926,-0.8725354054,0.3368757725,0.4974483331,0.2302980236,-0.8247426600,0.6596138275,0.2132183936,0.3799565743,0.0999061733,-0.5908849872,-0.3482878946,1.1094325976,0.1070622785,0.6614684115,0.0000000000,-2.3330226689,-1.5419950581,-1.6249034925,0.1182516577,0.6231706866,0.0781133453,0.0151396899,-0.2123206262,0.5680847881,0.5602480780,-0.0490558055,-0.8492512414,-0.3540260004,0.7429068724,-2.3330226689,-1.2827319871,0.6231706866,0.2349272878,-0.2459463747,-0.8903599613
2019-07-31,2019-07-31,sh.600019,600019.SS,宝钢股份,C31黑色金属冶炼和压延加工业,4.4156490400,25.2938029100,0.9646960809,-0.3205490974,-0.2504573528,-0.8913936111,0.0000000000,-0.1959741310,1.2580490092,1.2594742740,0.4127990425,-0.3203738760,-0.4627766749,-0.9340941545,0.9284318658,0.5257020214,1.3242366811,1.3670301999,1.3069132738,-0.4669914264,0.2499843726,0.2836266440,0.0032484650,0.0000000000,-0.5263627452,-0.2353703529,0.2315080316,0.5679003153,0.5648665022,0.1330840117,0.2672327518,-0.2323749638,0.3439415552,0.3768646613,0.1102446411,-0.0852980025,-0.5695743664,0.2123772072,-0.5263627452,0.2373215404,0.5648665022,0.2678190702,-0.0596179947,0.2742738583
2019-07-31,2019-07-31,sh.600023,600023.SS,浙能电力,D44电力、热力生产和供应业,3.3191078400,24.5284404700,0.2435923558,-0.3986662238,-0.5188460314,-0.8310772690,0.0000000000,0.0873789837,1.5183777947,1.2555782768,0.2528031956,-0.6133546103,-1.6053257551,-0.9698432570,0.9226473273,-0.3237757018,0.6354891664,1.1651006442,0.6439917552,-0.6193599607,-1.4078862594,-0.8212238659,-0.4163661699,0.0000000000,1.0020596043,1.1232753463,0.5762037545,-0.7339064771,-1.3302905942,-1.4141489374,-0.5661033783,0.5773159845,-0.3843989594,0.5559456906,0.8983882218,0.9081776864,0.2028038446,-1.0465287226,1.0020596043,0.4062690544,-1.3302905942,-0.9351397561,0.9116366649,-0.3906900549
