snapshot_date,signal_price_date,baostock_code,symbol,stock_name,industry,close,momentum_20,momentum_60,momentum_120,momentum_12_1,reversal_5_score,volatility_20,downside_volatility_60,drawdown_60,trend_60,liquidity_amount_20,turnover_20,turnover_stability_20,amihud_liquidity_score_20,value_pe_score,value_pb_score,value_ps_score,value_pcf_score,log_float_market_cap
2019-07-31,2019-07-31,sh.600000,600000.SS,浦发银行,J66货币金融服务,8.6844124900,0.0268166090,0.0372001677,0.1656154265,,-0.0241587575,0.1349025109,0.1162018153,-0.0270491803,0.0426892026,5.7707366587,0.0980815500,-0.0330181041,-0.0016406518,-1.7917629692,0.2749711990,-0.6482999080,,26.1920738209
2019-07-31,2019-07-31,sh.600004,600004.SS,白云机场,G56航空运输业,16.1963989200,0.0028441411,0.1039448967,0.5587975243,,-0.0267909144,0.3500293285,0.2453285851,-0.0562098501,0.0577048066,5.4594678055,0.6634658500,-0.5077175578,-0.0067354014,-3.6802711588,-0.8335315379,-1.5247828843,,24.2056232469
2019-07-31,2019-07-31,sh.600009,600009.SS,上海机场,G56航空运输业,78.6096263800,-0.0009654839,0.1597086018,0.6856037467,,-0.0133431265,0.2620325396,0.1714257787,-0.0430057803,0.0847004560,6.5151836719,0.7580244500,-0.4095610497,-0.0019290259,-3.5450484305,-1.6830988847,-2.7890564444,-5.4053979795,25.1609864771
2019-07-31,2019-07-31,sh.600010,600010.SS,包钢股份,C31黑色金属冶炼和压延加工业,1.5674105600,-0.0479787420,-0.0124996889,0.0742402033,,0.0125000000,0.1553378658,0.1943993856,-0.1068115164,-0.0496859603,5.3536022798,0.4109969000,-0.1909234099,-0.0028238736,-3.1219893033,-0.3068308095,-0.0627597526,-4.1626756948,24.6470589469
2019-07-31,2019-07-31,sh.600011,600011.SS,华能国际,D44电力、热力生产和供应业,5.4162226800,0.0316455696,-0.0358096675,0.0238002449,,-0.0155763240,0.1583073345,0.1403264120,-0.0258841788,0.0237890353,4.5853403699,0.1454777500,-0.0345617769,-0.0079681863,-3.4886372169,-0.2956033660,0.5108656246,,24.7313009520
2019-07-31,2019-07-31,sh.600015,600015.SS,华夏银行,J66货币金融服务,5.0950922400,-0.0099815641,0.0187146225,0.0295664427,,-0.0053191489,0.0873943286,0.0611298844,-0.0099815641,0.0128697905,4.4317059106,0.0853493500,-0.0254933768,-0.0047889352,-1.7162290243,0.5072752671,-0.4279015189,,24.8974512190
2019-07-31,2019-07-31,sh.600016,600016.SS,民生银行,J66货币金融服务,4.1970832900,-0.0079987302,0.0269756736,0.0843194929,,-0.0116666667,0.0834654702,0.0546530479,-0.0079987302,0.0218273261,5.7920228070,0.1519070500,-0.0588305859,-0.0011475669,-1.6473007811,0.4742092605,-0.4834564825,-2.9792347853,25.7145245126
2019-07-31,2019-07-31,sh.600018,600018.SS,上港集团,G55水上运输业,5.8423601600,0.0674486804,0.0147386356,0.3955036020,,-0.0769230769,0.3725855680,0.2271901168,-0.0464058720,0.0563065126,5.6767838612,0.1809674000,-0.1138468669,-0.0055509562,-2.7722494772,-0.7492732284,-1.5022739938,-3.9039691803,25.5595230047
2019-07-31,2019-07-31,sh.600019,600019.SS,宝钢股份,C31黑色金属冶炼和压延加工业,4.4156490400,-0.0347957640,0.0010024512,-0.0090941153,,-0.0110935024,0.1325790848,0.0948385078,-0.0420420420,0.0014448407,4.9946355301,0.1046750000,-0.0352043179,-0.0037580884,-1.9981105462,0.2309829493,0.7574979860,,25.2938029100
2019-07-31,2019-07-31,sh.600023,600023.SS,浙能电力,D44电力、热力生产和供应业,3.3191078400,-0.0400000000,-0.0307906436,0.0060696675,,-0.0023201856,0.1061906512,0.0950803649,-0.0512380983,-0.0182090801,3.8700988100,0.0797335500,-0.0368965811,-0.0086319477,-2.5627589603,0.0747688058,-0.0318648791,-4.2837677041,24.5284404700
