signal_date,execution_date,symbol,factor_rank,composite_score,target_weight
2020-04-30,2021-03-11,600519.SS,1,0.9090667713005794,0.2
2020-06-30,2021-03-11,300750.SZ,1,0.5281752627698233,0.2
2020-07-31,2021-03-11,000858.SZ,1,0.5075699311888283,0.2
2020-09-30,2021-03-11,002594.SZ,1,0.6941634621777583,0.2
2020-11-30,2021-03-11,600036.SS,1,0.3792701282995276,0.2
2021-03-31,2021-04-01,000651.SZ,1,0.8347231866880547,0.2
2021-03-31,2021-04-01,600900.SS,2,0.798246965322295,0.2
2021-03-31,2021-04-01,600036.SS,3,0.7688622990039807,0.2
2021-03-31,2021-04-01,600519.SS,4,0.34669819901201826,0.2
2021-03-31,2021-04-01,601318.SS,5,0.25712477541054946,0.2
2021-04-30,2021-05-06,000651.SZ,1,0.4888159662845677,0.2
2021-04-30,2021-05-06,600900.SS,2,0.4391990641573291,0.2
2021-04-30,2021-05-06,600036.SS,3,0.43228594068562304,0.2
2021-04-30,2021-05-06,300750.SZ,4,0.35754269319805054,0.2
2021-04-30,2021-05-06,000001.SZ,5,0.262921941311362,0.2
2021-05-31,2021-06-01,000001.SZ,1,0.45838491076956245,0.2
2021-05-31,2021-06-01,300750.SZ,2,0.41840395597794133,0.2
2021-05-31,2021-06-01,000858.SZ,3,0.3737532520131737,0.2
2021-05-31,2021-06-01,600036.SS,4,0.2822072863472792,0.2
2021-05-31,2021-06-01,600030.SS,5,0.11834817484424412,0.2
2021-06-30,2021-07-01,300750.SZ,1,0.584539055826512,0.2
2021-06-30,2021-07-01,002594.SZ,2,0.5840853505298468,0.2
2021-06-30,2021-07-01,600030.SS,3,0.1699990562111723,0.2
2021-06-30,2021-07-01,600036.SS,4,0.06966583398478438,0.2
2021-06-30,2021-07-01,000001.SZ,5,0.01550981082692321,0.2
2021-07-30,2021-08-02,002594.SZ,1,0.5731361456915213,0.2
2021-07-30,2021-08-02,300750.SZ,2,0.5695670545361613,0.2
2021-07-30,2021-08-02,600030.SS,3,0.3380435500748028,0.2
2021-07-30,2021-08-02,600900.SS,4,0.24321411265234322,0.2
2021-07-30,2021-08-02,600519.SS,5,0.14086628950764657,0.2
2021-08-31,2021-09-01,600900.SS,1,0.6253198081861797,0.2
2021-08-31,2021-09-01,600030.SS,2,0.6069605039904932,0.2
2021-08-31,2021-09-01,002594.SZ,3,0.585505442363826,0.2
2021-08-31,2021-09-01,600036.SS,4,0.3528217440810588,0.2
2021-08-31,2021-09-01,000333.SZ,5,0.2749427905296177,0.2
2021-09-30,2021-10-08,600900.SS,1,1.2317859241695714,0.2
2021-09-30,2021-10-08,600030.SS,2,0.6146165844234216,0.2
2021-09-30,2021-10-08,600036.SS,3,0.24022532519091386,0.2
2021-09-30,2021-10-08,000333.SZ,4,0.23880300495209375,0.2
2021-09-30,2021-10-08,300750.SZ,5,0.18615897669146186,0.2
2021-10-29,2021-11-01,300750.SZ,1,0.6077872003324327,0.2
2021-10-29,2021-11-01,600036.SS,2,0.3479722896433646,0.2
2021-10-29,2021-11-01,002594.SZ,3,0.3026414167988021,0.2
2021-10-29,2021-11-01,600900.SS,4,0.2748000463438438,0.2
2021-10-29,2021-11-01,600030.SS,5,0.2440995331820009,0.2
2021-11-30,2021-12-01,600519.SS,1,0.665140087150282,0.2
2021-11-30,2021-12-01,300750.SZ,2,0.40359727687407504,0.2
2021-11-30,2021-12-01,600276.SS,3,0.20805834299430348,0.2
2021-11-30,2021-12-01,600036.SS,4,0.1976259770678639,0.2
2021-11-30,2021-12-01,000858.SZ,5,0.13364182191530385,0.2
2021-12-31,2022-01-04,600519.SS,1,0.6407772440820023,0.2
2021-12-31,2022-01-04,600900.SS,2,0.32311756017806037,0.2
2021-12-31,2022-01-04,600030.SS,3,0.23719433152976074,0.2
2021-12-31,2022-01-04,600276.SS,4,0.15947754563795097,0.2
2021-12-31,2022-01-04,000333.SZ,5,0.1586318998919874,0.2
2022-01-28,2022-02-07,600900.SS,1,0.6121730586382812,0.2
2022-01-28,2022-02-07,600030.SS,2,0.4338249744626902,0.2
2022-01-28,2022-02-07,601318.SS,3,0.41315746270481624,0.2
2022-01-28,2022-02-07,000651.SZ,4,0.3877978093282391,0.2
2022-01-28,2022-02-07,000333.SZ,5,0.3170714918192436,0.2
2022-02-28,2022-03-01,600900.SS,1,1.01133374009938,0.2
2022-02-28,2022-03-01,000651.SZ,2,0.7546638904659217,0.2
2022-02-28,2022-03-01,601318.SS,3,0.6224027003377675,0.2
2022-02-28,2022-03-01,600030.SS,4,0.5921005489700453,0.2
2022-02-28,2022-03-01,600036.SS,5,0.39315549214155554,0.2
2022-03-31,2022-04-01,600900.SS,1,0.4904153793347409,0.2
2022-03-31,2022-04-01,000001.SZ,2,0.3994935554095643,0.2
2022-03-31,2022-04-01,002594.SZ,3,0.36421893896500684,0.2
2022-03-31,2022-04-01,601318.SS,4,0.2868928952635109,0.2
2022-03-31,2022-04-01,000651.SZ,5,0.16737178896203456,0.2
2022-04-29,2022-05-05,600900.SS,1,1.093739581491758,0.2
2022-04-29,2022-05-05,000001.SZ,2,0.5215663656319154,0.2
2022-04-29,2022-05-05,002594.SZ,3,0.4398905634635125,0.2
2022-04-29,2022-05-05,600519.SS,4,0.37029789917949313,0.2
2022-04-29,2022-05-05,601318.SS,5,0.22336421374478652,0.2
2022-05-31,2022-06-01,002594.SZ,1,0.5431621183520317,0.2
2022-05-31,2022-06-01,600519.SS,2,0.4988580832834444,0.2
2022-05-31,2022-06-01,600900.SS,3,0.40992442241052035,0.2
2022-05-31,2022-06-01,000651.SZ,4,0.25935360669051144,0.2
2022-05-31,2022-06-01,601318.SS,5,0.17891359591613626,0.2
2022-06-30,2022-07-01,000858.SZ,1,0.6112476799247321,0.2
2022-06-30,2022-07-01,600519.SS,2,0.5659775806782037,0.2
2022-06-30,2022-07-01,002594.SZ,3,0.5256480666182489,0.2
2022-06-30,2022-07-01,300750.SZ,4,0.02556722709606403,0.2
2022-06-30,2022-07-01,600276.SS,5,-0.018226530721864143,0.2
2022-07-29,2022-08-01,300750.SZ,1,0.573533696005369,0.2
2022-07-29,2022-08-01,600519.SS,2,0.4068754576159172,0.2
2022-07-29,2022-08-01,000858.SZ,3,0.3894633628135121,0.2
2022-07-29,2022-08-01,600900.SS,4,0.349999152238852,0.2
2022-07-29,2022-08-01,600276.SS,5,0.33518934789978627,0.2
2022-08-31,2022-09-01,000651.SZ,1,0.7357909752742895,0.2
2022-08-31,2022-09-01,600900.SS,2,0.5854592042048994,0.2
2022-08-31,2022-09-01,600519.SS,3,0.3532252490708123,0.2
2022-08-31,2022-09-01,600030.SS,4,0.164354009919227,0.2
2022-08-31,2022-09-01,601318.SS,5,0.10462657965811059,0.2
2022-09-30,2022-10-10,600900.SS,1,0.774191483954508,0.2
2022-09-30,2022-10-10,000651.SZ,2,0.6182884725008773,0.2
2022-09-30,2022-10-10,601318.SS,3,0.5329940923220805,0.2
2022-09-30,2022-10-10,600519.SS,4,0.4655762691205274,0.2
2022-09-30,2022-10-10,600036.SS,5,0.17831025029654018,0.2
2022-10-31,2022-11-01,000651.SZ,1,0.7901642585350659,0.2
2022-10-31,2022-11-01,600900.SS,2,0.6367610246580016,0.2
2022-10-31,2022-11-01,600276.SS,3,0.6079776155029485,0.2
2022-10-31,2022-11-01,600030.SS,4,0.4922850620875753,0.2
2022-10-31,2022-11-01,601318.SS,5,0.39077292056934715,0.2
