baostock_code,symbol,stock_name,number_of_rows,first_date,last_date,suspended_days,st_days,average_turnover_rate,industry,stale_days,coverage_status
sh.600000,600000.SS,浦发银行,1864,2019-01-02,2026-09-07,0,0,0.16017083744635194,J66货币金融服务,1,COMPLETE
sh.600004,600004.SS,白云机场,1865,2019-01-02,2026-09-08,0,0,0.8202937973190348,,0,COMPLETE
sh.600009,600009.SS,上海机场,1864,2019-01-02,2026-09-07,11,0,0.957435276848354,G56航空运输业,1,COMPLETE
sh.600010,600010.SS,包钢股份,1864,2019-01-02,2026-09-07,0,0,1.7395601153433475,C31黑色金属冶炼和压延加工业,1,COMPLETE
sh.600011,600011.SS,华能国际,1864,2019-01-02,2026-09-07,0,0,0.6202113728540772,D44电力、热力生产和供应业,1,COMPLETE
sh.600015,600015.SS,华夏银行,1864,2019-01-02,2026-09-07,0,0,0.27019849141630903,J66货币金融服务,1,COMPLETE
sh.600016,600016.SS,民生银行,1864,2019-01-02,2026-09-07,0,0,0.37603717650214596,J66货币金融服务,1,COMPLETE
sh.600018,600018.SS,上港集团,1864,2019-01-02,2026-09-07,0,0,0.16243163465665236,G55水上运输业,1,COMPLETE
sh.600019,600019.SS,宝钢股份,1864,2019-01-02,2026-09-07,0,0,0.398634839055794,C31黑色金属冶炼和压延加工业,1,COMPLETE
sh.600023,600023.SS,浙能电力,1864,2019-01-02,2026-09-07,0,0,0.3146996587982832,D44电力、热力生产和供应业,1,COMPLETE
sh.600025,600025.SS,华能水电,1864,2019-01-02,2026-09-07,0,0,0.24047447693133045,D44电力、热力生产和供应业,1,COMPLETE
sh.600026,600026.SS,中远海能,1864,2019-01-02,2026-09-07,2,0,1.2774000725026853,G55水上运输业,1,COMPLETE
sh.600027,600027.SS,华电国际,1864,2019-01-02,2026-09-07,11,0,0.8450182428494334,D44电力、热力生产和供应业,1,COMPLETE
sh.600028,600028.SS,中国石化,1864,2019-01-02,2026-09-07,0,0,0.1606493379828326,B07石油和天然气开采业,1,COMPLETE
sh.600029,600029.SS,南方航空,1864,2019-01-02,2026-09-07,0,0,0.5561903782188842,G56航空运输业,1,COMPLETE
sh.600030,600030.SS,中信证券,1864,2019-01-02,2026-09-07,13,0,1.1624087379794705,J67资本市场服务,1,COMPLETE
sh.600031,600031.SS,三一重工,1864,2019-01-02,2026-09-07,0,0,0.9929035815450643,C35专用设备制造业,1,COMPLETE
sh.600036,600036.SS,招商银行,1864,2019-01-02,2026-09-07,0,0,0.31753122693133046,J66货币金融服务,1,COMPLETE
sh.600038,600038.SS,中直股份,1865,2019-01-02,2026-09-08,10,0,1.2644639051212938,,0,COMPLETE
sh.600039,600039.SS,四川路桥,1864,2019-01-02,2026-09-07,12,0,0.666092826673866,E48土木工程建筑业,1,COMPLETE
sh.600048,600048.SS,保利发展,1864,2019-01-02,2026-09-07,0,0,0.8574228181330472,K70房地产业,1,COMPLETE
sh.600050,600050.SS,中国联通,1864,2019-01-02,2026-09-07,0,0,0.7355851475321888,I63电信、广播电视和卫星传输服务,1,COMPLETE
sh.600061,600061.SS,国投资本,1864,2019-01-02,2026-09-07,0,0,0.5564371829399142,J67资本市场服务,1,COMPLETE
sh.600066,600066.SS,宇通客车,1864,2019-01-02,2026-09-07,1,0,0.9544422995169082,C36汽车制造业,1,COMPLETE
sh.600068,600068.SS,葛洲坝,658,2019-01-02,2021-09-13,19,0,0.8969851877934273,,1821,STALE
sh.600079,600079.SS,人福医药,1865,2019-01-02,2026-09-08,11,178,1.3194516979503776,,0,COMPLETE
sh.600085,600085.SS,同仁堂,1864,2019-01-02,2026-09-07,0,0,0.817570073497854,C27医药制造业,1,COMPLETE
sh.600089,600089.SS,特变电工,1864,2019-01-02,2026-09-07,0,0,2.0238280488197424,C38电气机械和器材制造业,1,COMPLETE
sh.600100,600100.SS,同方股份,1865,2019-01-02,2026-09-08,0,0,1.5627004809651475,,0,COMPLETE
sh.600104,600104.SS,上汽集团,1864,2019-01-02,2026-09-07,0,0,0.3544362746781116,C36汽车制造业,1,COMPLETE
sh.600109,600109.SS,国金证券,1865,2019-01-02,2026-09-08,10,0,1.441384251212938,,0,COMPLETE
sh.600111,600111.SS,北方稀土,1864,2019-01-02,2026-09-07,0,0,2.3500553154506436,C32有色金属冶炼和压延加工业,1,COMPLETE
sh.600115,600115.SS,中国东航,1864,2019-01-02,2026-09-07,0,0,0.5045558229613735,G56航空运输业,1,COMPLETE
sh.600118,600118.SS,中国卫星,1864,2019-01-02,2026-09-07,0,0,2.02940654667382,C39计算机、通信和其他电子设备制造业,1,COMPLETE
sh.600132,600132.SS,重庆啤酒,1865,2019-01-02,2026-09-08,0,0,0.8036567485254691,,0,COMPLETE
sh.600143,600143.SS,金发科技,1865,2019-01-02,2026-09-08,0,0,1.8873762970509385,,0,COMPLETE
sh.600150,600150.SS,中国船舶,1864,2019-01-02,2026-09-07,26,57,1.4836892497279652,C37铁路、船舶、航空航天和其他运输设备制造业,1,COMPLETE
