baostock_code,symbol,stock_name,ipo_date,out_date,security_type,listing_status,industry,industry_classification,industry_update_date,first_hs300_snapshot,last_hs300_snapshot,is_current_hs300_member,source,updated_at
sh.600000,600000.SS,浦发银行,1999-11-10,,1,1,J66货币金融服务,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600004,600004.SS,白云机场,2003-04-28,,1,1,G56航空运输业,证监会行业分类,2026-09-07,2019-01-01,2021-06-30,0,baostock,2026-09-08T21:06:08
sh.600009,600009.SS,上海机场,1998-02-18,,1,1,G56航空运输业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600010,600010.SS,包钢股份,2001-03-09,,1,1,C31黑色金属冶炼和压延加工业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600011,600011.SS,华能国际,2001-12-06,,1,1,D44电力、热力生产和供应业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600015,600015.SS,华夏银行,2003-09-12,,1,1,J66货币金融服务,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600016,600016.SS,民生银行,2000-12-19,,1,1,J66货币金融服务,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600018,600018.SS,上港集团,2006-10-26,,1,1,G55水上运输业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600019,600019.SS,宝钢股份,2000-12-12,,1,1,C31黑色金属冶炼和压延加工业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
sh.600023,600023.SS,浙能电力,2013-12-19,,1,1,D44电力、热力生产和供应业,证监会行业分类,2026-09-07,2019-01-01,2026-09-08,1,baostock,2026-09-08T21:06:08
