snapshot_date,index_constituents,eligible_stocks,excluded_stocks,eligible_percent,ELIGIBLE,INSUFFICIENT_HISTORY,NO_VALID_PRICE,ST_STOCK,SUSPENDED_OR_STALE
2019-01-01,300,0,300,0.0,0,0,300,0,0
2019-01-31,300,0,300,0.0,0,300,0,0,0
2019-02-28,300,0,300,0.0,0,300,0,0,0
2019-03-31,300,0,300,0.0,0,300,0,0,0
2019-04-30,300,0,300,0.0,0,300,0,0,0
2019-05-31,300,0,300,0.0,0,300,0,0,0
2019-06-30,300,0,300,0.0,0,300,0,0,0
2019-07-31,300,300,0,100.0,300,0,0,0,0
2019-08-31,300,300,0,100.0,300,0,0,0,0
2019-09-30,300,300,0,100.0,300,0,0,0,0
2019-10-31,300,300,0,100.0,300,0,0,0,0
2019-11-30,300,300,0,100.0,300,0,0,0,0
2019-12-31,300,300,0,100.0,300,0,0,0,0
2020-01-31,300,300,0,100.0,300,0,0,0,0
2020-02-29,300,300,0,100.0,300,0,0,0,0
2020-03-31,300,300,0,100.0,300,0,0,0,0
2020-04-30,300,299,1,99.66666666666667,299,0,0,0,1
2020-05-31,300,299,1,99.66666666666667,299,0,0,0,1
2020-06-30,300,299,1,99.66666666666667,299,1,0,0,0
2020-07-31,300,300,0,100.0,300,0,0,0,0
2020-08-31,300,300,0,100.0,300,0,0,0,0
2020-09-30,300,300,0,100.0,300,0,0,0,0
2020-10-31,300,300,0,100.0,300,0,0,0,0
2020-11-30,300,300,0,100.0,300,0,0,0,0
2020-12-31,300,300,0,100.0,300,0,0,0,0
2021-01-31,300,300,0,100.0,300,0,0,0,0
2021-02-28,300,300,0,100.0,300,0,0,0,0
2021-03-31,300,300,0,100.0,300,0,0,0,0
2021-04-30,300,300,0,100.0,300,0,0,0,0
2021-05-31,300,300,0,100.0,300,0,0,0,0
2021-06-30,300,299,1,99.66666666666667,299,0,0,0,1
2021-07-31,300,300,0,100.0,300,0,0,0,0
2021-08-31,300,300,0,100.0,300,0,0,0,0
2021-09-30,300,300,0,100.0,300,0,0,0,0
2021-10-31,300,300,0,100.0,300,0,0,0,0
2021-11-30,300,300,0,100.0,300,0,0,0,0
2021-12-31,300,300,0,100.0,300,0,0,0,0
2022-01-31,300,298,2,99.33333333333333,298,2,0,0,0
2022-02-28,300,299,1,99.66666666666667,299,1,0,0,0
2022-03-31,300,300,0,100.0,300,0,0,0,0
2022-04-30,300,300,0,100.0,300,0,0,0,0
2022-05-31,300,299,1,99.66666666666667,299,0,0,1,0
2022-06-30,300,298,2,99.33333333333333,298,2,0,0,0
2022-07-31,300,300,0,100.0,300,0,0,0,0
2022-08-31,300,300,0,100.0,300,0,0,0,0
2022-09-30,300,300,0,100.0,300,0,0,0,0
2022-10-31,300,300,0,100.0,300,0,0,0,0
2022-11-30,300,300,0,100.0,300,0,0,0,0
2022-12-31,300,300,0,100.0,300,0,0,0,0
2023-01-31,300,300,0,100.0,300,0,0,0,0
2023-02-28,300,300,0,100.0,300,0,0,0,0
2023-03-31,300,300,0,100.0,300,0,0,0,0
2023-04-30,300,300,0,100.0,300,0,0,0,0
2023-05-31,300,300,0,100.0,300,0,0,0,0
2023-06-30,300,300,0,100.0,300,0,0,0,0
2023-07-31,300,300,0,100.0,300,0,0,0,0
2023-08-31,300,300,0,100.0,300,0,0,0,0
2023-09-30,300,300,0,100.0,300,0,0,0,0
2023-10-31,300,300,0,100.0,300,0,0,0,0
2023-11-30,300,300,0,100.0,300,0,0,0,0
2023-12-31,300,300,0,100.0,300,0,0,0,0
2024-01-31,300,300,0,100.0,300,0,0,0,0
2024-02-29,300,300,0,100.0,300,0,0,0,0
2024-03-31,300,300,0,100.0,300,0,0,0,0
2024-04-30,300,300,0,100.0,300,0,0,0,0
2024-05-31,300,300,0,100.0,300,0,0,0,0
2024-06-30,300,300,0,100.0,300,0,0,0,0
2024-07-31,300,300,0,100.0,300,0,0,0,0
2024-08-31,300,300,0,100.0,300,0,0,0,0
2024-09-30,300,298,2,99.33333333333333,298,0,0,0,2
2024-10-31,300,300,0,100.0,300,0,0,0,0
2024-11-30,300,300,0,100.0,300,0,0,0,0
2024-12-31,300,300,0,100.0,300,0,0,0,0
2025-01-31,300,300,0,100.0,300,0,0,0,0
2025-02-28,300,299,1,99.66666666666667,299,0,0,0,1
2025-03-31,300,300,0,100.0,300,0,0,0,0
2025-04-30,300,300,0,100.0,300,0,0,0,0
2025-05-31,300,300,0,100.0,300,0,0,0,0
2025-06-30,300,299,1,99.66666666666667,299,1,0,0,0
2025-07-31,300,300,0,100.0,300,0,0,0,0
2025-08-31,300,299,1,99.66666666666667,299,0,0,0,1
2025-09-30,300,300,0,100.0,300,0,0,0,0
2025-10-31,300,300,0,100.0,300,0,0,0,0
2025-11-30,300,300,0,100.0,300,0,0,0,0
2025-12-31,300,299,1,99.66666666666667,299,1,0,0,0
2026-01-31,300,300,0,100.0,300,0,0,0,0
2026-02-28,300,300,0,100.0,300,0,0,0,0
2026-03-31,300,300,0,100.0,300,0,0,0,0
2026-04-30,300,300,0,100.0,300,0,0,0,0
2026-05-31,300,300,0,100.0,300,0,0,0,0
2026-06-30,300,300,0,100.0,300,0,0,0,0
2026-07-31,300,300,0,100.0,300,0,0,0,0
2026-08-31,300,300,0,100.0,300,0,0,0,0
2026-09-08,300,300,0,100.0,300,0,0,0,0
