snapshot_date,target_snapshot_date,component_column,component_name,number_of_stocks,rank_ic
2019-07-31,2019-08-31,low_risk_component,Low Risk,300,-0.1586833363
2019-07-31,2019-08-31,short_reversal_component,Short Reversal,300,-0.1138012771
2019-07-31,2019-08-31,turnover_stability_component,Turnover Stability,300,-0.0905081268
2019-07-31,2019-08-31,value_component,Value,300,-0.2701552540
2019-08-31,2019-09-30,low_risk_component,Low Risk,300,-0.0242356322
2019-08-31,2019-09-30,short_reversal_component,Short Reversal,300,0.1619264415
2019-08-31,2019-09-30,turnover_stability_component,Turnover Stability,300,-0.0749002571
2019-08-31,2019-09-30,value_component,Value,300,0.0665163759
2019-09-30,2019-10-31,low_risk_component,Low Risk,300,0.0377513335
2019-09-30,2019-10-31,short_reversal_component,Short Reversal,300,-0.0167950867
2019-09-30,2019-10-31,turnover_stability_component,Turnover Stability,300,0.0729899708
2019-09-30,2019-10-31,value_component,Value,300,-0.0383422294
2019-10-31,2019-11-30,low_risk_component,Low Risk,300,0.0567093031
2019-10-31,2019-11-30,short_reversal_component,Short Reversal,300,-0.0528914824
2019-10-31,2019-11-30,turnover_stability_component,Turnover Stability,300,0.1084356613
2019-10-31,2019-11-30,value_component,Value,300,0.1475509892
2019-11-30,2019-12-31,low_risk_component,Low Risk,300,-0.0502823421
2019-11-30,2019-12-31,short_reversal_component,Short Reversal,300,0.0438313808
2019-11-30,2019-12-31,turnover_stability_component,Turnover Stability,300,-0.0597422260
2019-11-30,2019-12-31,value_component,Value,300,0.0924050370
2019-12-31,2020-01-31,low_risk_component,Low Risk,300,-0.0170410801
2019-12-31,2020-01-31,short_reversal_component,Short Reversal,300,0.1097610095
2019-12-31,2020-01-31,turnover_stability_component,Turnover Stability,300,0.0314259082
2019-12-31,2020-01-31,value_component,Value,300,-0.0944503933
2020-01-31,2020-02-29,long_momentum_component,12-1 Momentum,300,0.0464623095
2020-01-31,2020-02-29,low_risk_component,Low Risk,300,-0.0450127324
2020-01-31,2020-02-29,short_reversal_component,Short Reversal,300,0.0139410484
2020-01-31,2020-02-29,turnover_stability_component,Turnover Stability,300,-0.1238607371
2020-01-31,2020-02-29,value_component,Value,300,-0.0576159863
2020-02-29,2020-03-31,long_momentum_component,12-1 Momentum,300,0.0289634329
2020-02-29,2020-03-31,low_risk_component,Low Risk,300,0.1947057190
2020-02-29,2020-03-31,short_reversal_component,Short Reversal,300,-0.1753512817
2020-02-29,2020-03-31,turnover_stability_component,Turnover Stability,300,0.0857853976
2020-02-29,2020-03-31,value_component,Value,300,0.0032804809
2020-03-31,2020-04-30,long_momentum_component,12-1 Momentum,299,0.2806190493
2020-03-31,2020-04-30,low_risk_component,Low Risk,299,-0.2571768987
2020-03-31,2020-04-30,short_reversal_component,Short Reversal,299,-0.1054049246
2020-03-31,2020-04-30,turnover_stability_component,Turnover Stability,299,-0.0562706479
2020-03-31,2020-04-30,value_component,Value,299,-0.1902619450
2020-04-30,2020-05-31,long_momentum_component,12-1 Momentum,299,0.0056734991
2020-04-30,2020-05-31,low_risk_component,Low Risk,299,-0.0093838522
2020-04-30,2020-05-31,short_reversal_component,Short Reversal,299,-0.1045278445
