snapshot_date,component_column,component_name,model_ready,weight_method,number_of_training_periods,training_start_date,training_end_date,weighted_mean_ic,weighted_ic_std,positive_ic_rate_percent,raw_strength,target_weight,smoothed_weight,lookahead_violation
2019-07-31,turnover_stability_component,Turnover Stability,0,INSUFFICIENT_HISTORY,0,,,,,,0.0000000000,0.0000000000,0.0000000000,0
2019-07-31,low_risk_component,Low Risk,0,INSUFFICIENT_HISTORY,0,,,,,,0.0000000000,0.0000000000,0.0000000000,0
2019-07-31,long_momentum_component,12-1 Momentum,0,INSUFFICIENT_HISTORY,0,,,,,,0.0000000000,0.0000000000,0.0000000000,0
2019-07-31,value_component,Value,0,INSUFFICIENT_HISTORY,0,,,,,,0.0000000000,0.0000000000,0.0000000000,0
2019-07-31,short_reversal_component,Short Reversal,0,INSUFFICIENT_HISTORY,0,,,,,,0.0000000000,0.0000000000,0.0000000000,0
2019-08-31,turnover_stability_component,Turnover Stability,0,INSUFFICIENT_HISTORY,1,2019-08-31,2019-08-31,-0.0905081268,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-08-31,low_risk_component,Low Risk,0,INSUFFICIENT_HISTORY,1,2019-08-31,2019-08-31,-0.1586833363,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-08-31,long_momentum_component,12-1 Momentum,0,INSUFFICIENT_HISTORY,0,,,,,,0.0000000000,0.0000000000,0.0000000000,0
2019-08-31,value_component,Value,0,INSUFFICIENT_HISTORY,1,2019-08-31,2019-08-31,-0.2701552540,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-08-31,short_reversal_component,Short Reversal,0,INSUFFICIENT_HISTORY,1,2019-08-31,2019-08-31,-0.1138012771,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-09-30,turnover_stability_component,Turnover Stability,0,INSUFFICIENT_HISTORY,2,2019-08-31,2019-09-30,-0.0824788681,0.0078006813,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-09-30,low_risk_component,Low Risk,0,INSUFFICIENT_HISTORY,2,2019-08-31,2019-09-30,-0.0895185229,0.0671958254,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-09-30,long_momentum_component,12-1 Momentum,0,INSUFFICIENT_HISTORY,0,,,,,,0.0000000000,0.0000000000,0.0000000000,0
2019-09-30,value_component,Value,0,INSUFFICIENT_HISTORY,2,2019-08-31,2019-09-30,-0.0969590613,0.1682656332,50.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-09-30,short_reversal_component,Short Reversal,0,INSUFFICIENT_HISTORY,2,2019-08-31,2019-09-30,0.0280431399,0.1378063818,50.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-10-31,turnover_stability_component,Turnover Stability,0,INSUFFICIENT_HISTORY,3,2019-08-31,2019-10-31,-0.0276353808,0.0745521967,33.3333333333,0.0000000000,0.0000000000,0.0000000000,0
2019-10-31,low_risk_component,Low Risk,0,INSUFFICIENT_HISTORY,3,2019-08-31,2019-10-31,-0.0446225630,0.0813677799,33.3333333333,0.0000000000,0.0000000000,0.0000000000,0
2019-10-31,long_momentum_component,12-1 Momentum,0,INSUFFICIENT_HISTORY,0,,,,,,0.0000000000,0.0000000000,0.0000000000,0
2019-10-31,value_component,Value,0,INSUFFICIENT_HISTORY,3,2019-08-31,2019-10-31,-0.0762812747,0.1382387655,33.3333333333,0.0000000000,0.0000000000,0.0000000000,0
2019-10-31,short_reversal_component,Short Reversal,0,INSUFFICIENT_HISTORY,3,2019-08-31,2019-10-31,0.0122259206,0.1129179801,33.3333333333,0.0000000000,0.0000000000,0.0000000000,0
2019-11-30,turnover_stability_component,Turnover Stability,0,INSUFFICIENT_HISTORY,4,2019-08-31,2019-11-30,0.0093840096,0.0878222530,50.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-11-30,low_risk_component,Low Risk,0,INSUFFICIENT_HISTORY,4,2019-08-31,2019-11-30,-0.0170542880,0.0827829899,50.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-11-30,long_momentum_component,12-1 Momentum,0,INSUFFICIENT_HISTORY,0,,,,,,0.0000000000,0.0000000000,0.0000000000,0
2019-11-30,value_component,Value,0,INSUFFICIENT_HISTORY,4,2019-08-31,2019-11-30,-0.0153856291,0.1543795511,50.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-11-30,short_reversal_component,Short Reversal,0,INSUFFICIENT_HISTORY,4,2019-08-31,2019-11-30,-0.0054898735,0.1006048884,25.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-12-31,turnover_stability_component,Turnover Stability,0,INSUFFICIENT_HISTORY,5,2019-08-31,2019-12-31,-0.0060826526,0.0825650797,40.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-12-31,low_risk_component,Low Risk,0,INSUFFICIENT_HISTORY,5,2019-08-31,2019-12-31,-0.0244889050,0.0742391862,40.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-12-31,long_momentum_component,12-1 Momentum,0,INSUFFICIENT_HISTORY,0,,,,,,0.0000000000,0.0000000000,0.0000000000,0
2019-12-31,value_component,Value,0,INSUFFICIENT_HISTORY,5,2019-08-31,2019-12-31,0.0087320132,0.1432428451,60.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2019-12-31,short_reversal_component,Short Reversal,0,INSUFFICIENT_HISTORY,5,2019-08-31,2019-12-31,0.0055455196,0.0909903359,40.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2020-01-31,turnover_stability_component,Turnover Stability,0,INSUFFICIENT_HISTORY,6,2019-08-31,2020-01-31,0.0011049285,0.0756876486,50.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2020-01-31,low_risk_component,Low Risk,0,INSUFFICIENT_HISTORY,6,2019-08-31,2020-01-31,-0.0230617150,0.0668125437,33.3333333333,0.0000000000,0.0000000000,0.0000000000,0
2020-01-31,long_momentum_component,12-1 Momentum,0,INSUFFICIENT_HISTORY,0,,,,,,0.0000000000,0.0000000000,0.0000000000,0
2020-01-31,value_component,Value,0,INSUFFICIENT_HISTORY,6,2019-08-31,2020-01-31,-0.0110403240,0.1350402273,50.0000000000,0.0000000000,0.0000000000,0.0000000000,0
2020-01-31,short_reversal_component,Short Reversal,0,INSUFFICIENT_HISTORY,6,2019-08-31,2020-01-31,0.0255158215,0.0915157516,50.0000000000,0.0000000000,0.0000000000,0.0000000000,0
